timestep,average_reward
100,-7.1062627
200,-13.343972
300,-4.7660837
400,-2.0114923
500,-1.8762648
600,-2.3877547
700,-2.5542023
800,-2.7569404
900,-2.5126562
1000,-2.368293
1100,-2.2594965
1200,-2.3278887
1300,-2.2992377
1400,-2.4413917
1500,-1.784402
1600,-2.0985081
1700,-2.3171687
1800,-2.4125872
1900,-2.1703105
2000,-2.3803115
2100,-2.2569692
2200,-2.2562418
2300,-1.7757814
2400,-2.4022913
2500,-2.4113696
2600,-2.2304966
2700,-2.2507758
2800,-2.4445539
2900,-2.3087747
3000,-1.8202968
3100,-2.3715365
3200,-2.3118975
3300,-2.3786108
3400,-2.3782651
3500,-2.2627096
3600,-2.4542046
3700,-2.5285358
3800,-2.5621793
3900,-2.289862
4000,-2.1234198
4100,-2.1339273
4200,-2.0881317
4300,-1.6520418
4400,-1.7145185
4500,-2.000799
4600,-2.0054789
4700,-1.9255095
4800,-1.9322857
4900,-1.9312148
5000,-1.7470613
5100,-1.9104701
5200,-2.3535242
5300,-2.0511904
5400,-1.9377303
5500,-2.0749946
5600,-1.9374238
5700,-1.9771374
5800,-1.9644382
5900,-2.0575547
6000,-2.1039114
6100,-2.030879
6200,-2.2851331
6300,-1.898336
6400,-2.017305
6500,-2.4095354
6600,-2.1018097
6700,-1.9202125
6800,-1.9209622
6900,-2.0183387
7000,-2.1309693
7100,-1.8566066
7200,-2.1484432
7300,-1.9698972
7400,-1.9736305
7500,-2.0373003
7600,-2.1779165
7700,-1.840858
7800,-1.9119918
7900,-1.9718966
8000,-1.8485509
8100,-1.925554
8200,-2.0129266
8300,-2.4751139
8400,-2.0094345
8500,-2.457011
8600,-2.0195231
8700,-1.8996178
8800,-2.4000347
8900,-1.9232863
9000,-1.8993744
9100,-1.9301761
9200,-2.3773947
9300,-1.8885894
9400,-1.8807908
9500,-2.4387434
9600,-1.9145705
9700,-1.9195181
9800,-2.1908104
9900,-2.109992
10000,-2.0097914
10100,-2.0840998
10200,-2.0488114
10300,-2.3926091
10400,-1.8891071
10500,-1.9363236
10600,-2.1206443
10700,-1.8907843
10800,-2.3938901
10900,-2.0444517
11000,-2.0508895
11100,-1.9543757
11200,-1.9193596
11300,-2.0943003
11400,-2.0915208
11500,-1.9518145
11600,-2.3850355
11700,-2.0640333
11800,-2.3625586
11900,-2.3490129
12000,-2.0569844
12100,-1.9061509
12200,-1.9972173
12300,-1.8722376
12400,-2.113586
12500,-2.1118886
12600,-2.0628028
12700,-1.9352007
12800,-2.1022575
12900,-2.357465
13000,-1.9010373
13100,-2.3934443
13200,-1.9010766
13300,-1.922709
13400,-2.3631551
13500,-2.3620942
13600,-1.8328737
13700,-2.0752563
13800,-1.9871397
13900,-1.9853345
14000,-2.1626616
14100,-2.0006824
14200,-2.3455474
14300,-2.3668625
14400,-1.8480611
14500,-1.8876176
14600,-2.405458
14700,-1.8243492
14800,-2.1005237
14900,-2.024552
15000,-1.921487
15100,-1.9256964
15200,-1.9800993
15300,-2.1426203
15400,-1.9911157
15500,-1.820426
15600,-1.8533717
15700,-1.9251323
15800,-2.3742254
15900,-2.0782416
16000,-1.8529744
16100,-2.4021122
16200,-1.8744274
16300,-1.9874747
