timestep,average_reward
100,-6.8861175
200,-8.151902
300,-3.1497796
400,-8.61582
500,-2.9252398
600,-11.864174
700,-7.0812407
800,-9.000952
900,-4.8995833
1000,-4.6876254
1100,-4.1294494
1200,-3.547795
1300,-6.7795796
1400,-6.2946444
1500,-4.3637285
1600,-4.3301244
1700,-8.690998
1800,-7.0455556
1900,-4.054261
2000,-7.8485656
2100,-2.6745815
2200,-5.095712
2300,-6.84705
2400,-7.3969483
2500,-5.4283876
2600,-5.843909
2700,-4.37996
2800,-5.8325806
2900,-3.3400528
3000,-3.819732
3100,-6.1147876
3200,-2.7069876
3300,-4.502963
3400,-5.4107456
3500,-3.6365044
3600,-2.3644288
3700,-3.9410238
3800,-3.9832013
3900,-5.1665206
4000,-2.6410341
4100,-2.5988493
4200,-3.3017325
4300,-2.0179758
4400,-3.5354373
4500,-4.359089
4600,-3.2055197
4700,-3.1373227
4800,-3.9646468
4900,-4.0339217
5000,-6.1647243
5100,-4.0991864
5200,-2.9558332
5300,-4.802127
5400,-3.0941474
5500,-3.4920988
5600,-3.142646
5700,-3.389402
5800,-2.6850605
5900,-2.5124521
6000,-3.203869
6100,-3.3179278
6200,-3.9110873
6300,-3.166376
6400,-2.771566
6500,-2.4840693
6600,-3.1999292
6700,-2.7156692
6800,-2.8061218
6900,-3.481052
7000,-3.0474787
7100,-3.1267948
7200,-3.3484843
7300,-2.735246
7400,-2.0942986
7500,-2.870785
7600,-2.452309
7700,-2.5898504
7800,-2.5918887
7900,-2.5189664
8000,-2.483499
8100,-2.6828413
8200,-2.887109
8300,-2.9828026
8400,-2.5683978
8500,-2.5345118
8600,-2.3990157
8700,-2.0173168
8800,-2.2158725
8900,-2.7165616
9000,-2.2655299
9100,-2.7762647
9200,-2.8228085
9300,-2.6054337
9400,-2.512528
9500,-3.0647628
9600,-2.2378364
9700,-2.5076962
9800,-2.4027321
9900,-2.7368135
10000,-2.592489
10100,-2.4860532
10200,-2.3058054
10300,-2.1329699
10400,-2.5165555
10500,-2.554288
10600,-3.0279818
10700,-2.558097
10800,-3.027058
10900,-2.3567886
11000,-2.8776224
11100,-2.2465599
11200,-3.0003176
11300,-2.3966384
11400,-2.9113576
11500,-2.5315886
11600,-2.3527906
11700,-2.7667098
11800,-2.4027016
11900,-2.476809
12000,-2.7595654
12100,-2.406544
12200,-2.833418
12300,-2.3534513
12400,-2.243844
12500,-2.645954
12600,-2.512791
12700,-2.234797
12800,-2.639711
12900,-2.4875133
13000,-2.246337
13100,-2.433115
13200,-2.660545
13300,-2.1501794
13400,-2.7492466
13500,-2.7739244
13600,-2.8441648
13700,-2.6872594
13800,-2.2249775
13900,-2.7542036
14000,-2.4478705
14100,-2.7353218
14200,-2.6352177
14300,-2.6488237
14400,-2.5442855
14500,-1.7750673
14600,-2.498344
14700,-2.081621
14800,-2.278204
14900,-2.354786
15000,-2.4885528
15100,-2.340628
15200,-2.444115
15300,-2.5877514
15400,-2.285559
15500,-2.2964988
15600,-2.082498
15700,-2.349802
15800,-2.4332
15900,-2.1872168
16000,-2.640576
16100,-2.241283
16200,-2.1824443
16300,-2.138442
16400,-1.796304
16500,-2.4948106
16600,-2.07632
16700,-2.2344031
16800,-3.010948
16900,-2.4745362
17000,-2.5326614
17100,-2.371531
17200,-2.1814315
17300,-2.202394
17400,-2.50814
17500,-2.010611
17600,-2.2546492
17700,-2.1436484
17800,-2.129165
17900,-2.8633106
18000,-2.0745492
18100,-2.4742606
18200,-2.337044
18300,-2.465745
18400,-2.261287
18500,-2.634724
18600,-2.1334713
18700,-2.3031452
18800,-2.4131107
18900,-2.7055628
19000,-2.4288847
19100,-2.895664
19200,-2.376312
19300,-2.340969
19400,-2.2055771
19500,-2.12199
19600,-2.5421627
19700,-2.5493987
19800,-2.1961367
19900,-2.6996326
20000,-2.5508893
20100,-2.3962257
20200,-2.617334
20300,-2.1538517
20400,-2.3872538
20500,-2.422216
20600,-2.4494817
20700,-2.6025152
20800,-2.6769757
20900,-2.0984066
21000,-2.4082267
21100,-2.578731
21200,-2.4540925
21300,-2.2587123
21400,-2.2298684
21500,-2.4334745
21600,-1.7839202
21700,-3.0512435
21800,-2.6976438
21900,-2.4089532
22000,-2.740802
22100,-2.8770816
22200,-3.0043094
22300,-1.8373495
22400,-2.2518423
22500,-2.895763
22600,-2.4570851
22700,-2.5151594
22800,-2.289902
22900,-1.7020718
23000,-2.4759507
23100,-2.651051
23200,-2.3988435
23300,-2.5109544
23400,-2.6994982
23500,-2.477864
23600,-2.304028
23700,-1.8327308
