timestep,average_reward
100,-6.866067
200,-14.443786
300,-6.464003
400,-4.4919877
500,-2.867991
600,-2.8179379
700,-2.0086317
800,-2.6455202
900,-2.1686237
1000,-2.2404575
1100,-2.425417
1200,-2.4380329
1300,-2.3725457
1400,-2.4629421
1500,-1.9973987
1600,-2.330855
1700,-2.3400173
1800,-2.0898216
1900,-2.2623262
2000,-1.9389306
2100,-2.1982543
2200,-2.3273873
2300,-2.3714628
2400,-2.3181581
2500,-2.0610487
2600,-2.1359076
2700,-1.9098555
2800,-2.4975727
2900,-2.3046007
3000,-2.4045558
3100,-2.3186529
3200,-2.4438741
3300,-2.3586996
3400,-2.3886616
3500,-1.8596231
3600,-2.5828698
3700,-2.2764635
3800,-2.055085
3900,-2.1465778
4000,-2.424411
4100,-2.4701023
4200,-2.1174095
4300,-2.2743614
4400,-2.437407
4500,-2.2885313
4600,-2.370311
4700,-2.209007
4800,-1.9365953
4900,-2.3018959
5000,-2.0717173
5100,-2.257562
5200,-1.9142839
5300,-1.9317361
5400,-2.2090976
5500,-2.130467
5600,-2.201509
5700,-2.2801073
5800,-2.2878458
5900,-2.0635824
6000,-2.1859286
6100,-2.373701
6200,-1.9996381
6300,-2.2612748
6400,-2.2990048
6500,-1.8525897
6600,-2.114784
6700,-2.2183807
6800,-2.13424
6900,-2.2001405
7000,-2.156084
7100,-2.0709019
7200,-1.806967
7300,-2.0266817
7400,-2.0671396
7500,-1.8487068
7600,-2.3063831
7700,-2.1336656
7800,-2.1425827
7900,-2.0165787
8000,-2.0572376
8100,-2.0402508
8200,-1.8421257
8300,-2.092008
8400,-2.257991
8500,-2.2213113
8600,-2.148804
8700,-2.1490083
8800,-2.0246751
8900,-2.0626402
9000,-1.8938072
9100,-2.2728078
9200,-2.0343194
9300,-2.0195248
9400,-2.218536
9500,-2.0560596
9600,-1.897663
9700,-2.0750437
9800,-2.1579664
9900,-2.1982431
10000,-2.1512444
10100,-2.14367
10200,-1.8297447
10300,-2.098649
10400,-2.1858327
10500,-2.0768754
10600,-2.0308971
10700,-2.108544
10800,-2.1245968
10900,-2.1272516
11000,-2.012652
11100,-2.1007988
11200,-2.0098977
11300,-2.1681907
11400,-2.1098683
11500,-2.1371212
11600,-1.8346955
11700,-2.063166
11800,-2.151036
11900,-2.1676621
12000,-2.095502
12100,-2.0165956
12200,-2.1451035
12300,-2.0330484
12400,-2.1952984
12500,-2.412187
12600,-2.2260468
12700,-2.1978636
12800,-2.077195
12900,-2.1409473
13000,-2.1770036
13100,-2.0567448
13200,-2.1938522
13300,-2.0895188
13400,-2.3551753
13500,-2.1907418
13600,-2.091002
13700,-2.3109407
13800,-1.9699435
13900,-2.1128983
14000,-2.121064
14100,-1.7869228
14200,-2.0253782
14300,-2.2541993
14400,-2.098857
14500,-2.128895
14600,-2.1841247
14700,-2.2466395
14800,-1.8406199
14900,-2.3872404
15000,-2.094029
15100,-2.1438897
15200,-1.8378754
15300,-1.7823273
15400,-2.1748655
15500,-2.1346962
15600,-2.050531
15700,-2.0232139
15800,-2.0771441
15900,-1.8756772
16000,-2.1385615
16100,-2.1767654
16200,-2.1531396
16300,-1.9037126
16400,-1.8678117
16500,-2.0741172
16600,-2.1218598
16700,-2.0824547
16800,-1.9880759
16900,-2.1485076
17000,-1.789791
17100,-2.1619217
17200,-2.026524
17300,-2.1197457
17400,-1.8515003
17500,-1.7808425
17600,-2.1135356
17700,-2.1376343
17800,-2.4570804
17900,-2.085564
18000,-1.9963461
18100,-2.3392472
18200,-2.1197414
18300,-2.2009175
18400,-2.2537122
