timestep,average_reward
100,-4.378133
200,-135.56789
300,-140.32022
400,-145.51965
500,-145.51965
600,-141.04327
700,-139.69342
800,-140.32022
900,-141.04417
1000,-140.32022
1100,-6.2865267
1200,-2.6358132
1300,-2.6506605
1400,-2.3587632
1500,-1.9232776
1600,-2.000906
1700,-2.238898
1800,-1.8675517
1900,-2.719816
2000,-2.1238089
2100,-1.8858001
2200,-2.6069164
2300,-2.153278
2400,-1.9418033
2500,-2.9475455
2600,-1.9260147
2700,-1.9964801
2800,-3.1606112
2900,-3.089169
3000,-2.6022632
3100,-1.9735894
3200,-2.7672472
3300,-1.9362586
3400,-1.9093404
3500,-3.018691
3600,-2.2898881
3700,-1.9842666
3800,-1.9649626
3900,-2.4681363
4000,-3.1252842
4100,-2.0001056
4200,-2.541791
4300,-2.4446342
4400,-2.6195235
4500,-2.9413464
4600,-2.4217634
4700,-3.210074
4800,-2.6659522
4900,-1.8932638
5000,-2.6400063
5100,-1.9319208
5200,-2.6378567
5300,-3.4817038
5400,-2.1156487
5500,-2.1597703
5600,-1.9957368
5700,-2.7066736
5800,-3.032084
5900,-2.6144505
6000,-3.0783563
6100,-2.4494863
6200,-2.1210833
6300,-3.246628
6400,-2.0866697
6500,-3.044487
6600,-3.1621616
6700,-1.9375696
6800,-3.092937
6900,-2.1515534
7000,-3.0264776
7100,-3.072463
7200,-3.6938162
7300,-3.4856102
7400,-3.5714846
7500,-2.739599
7600,-3.5725045
7700,-2.034386
7800,-1.9526323
7900,-2.8184366
8000,-3.4499075
8100,-2.0273657
8200,-1.9137414
8300,-3.5122998
8400,-3.140344
8500,-3.1950426
8600,-2.7341397
8700,-3.3154545
8800,-2.087928
8900,-3.1508596
9000,-2.6653907
9100,-3.2742395
9200,-2.0484686
9300,-2.5939288
9400,-2.6373422
9500,-2.6283417
9600,-1.9360968
9700,-1.9848255
9800,-2.5678527
9900,-2.7150414
10000,-1.9866928
10100,-1.861213
10200,-2.8411899
10300,-1.8640835
10400,-2.3956394
10500,-2.2212975
10600,-1.9218575
10700,-2.2235358
10800,-2.7061002
10900,-1.8965974
11000,-1.9012735
11100,-2.131365
11200,-2.1666849
11300,-2.1204748
11400,-2.6937745
11500,-2.5265827
11600,-1.8334831
11700,-1.8930076
11800,-1.8952136
11900,-1.8075509
12000,-2.218237
12100,-2.1465576
12200,-2.7321808
12300,-1.8327733
12400,-2.2105951
12500,-2.2317522
12600,-2.1986685
12700,-2.1406486
12800,-1.8212873
12900,-1.8371387
13000,-2.1116483
13100,-1.8387353
13200,-2.549106
13300,-2.205274
13400,-2.09116
13500,-2.1987975
13600,-2.552975
13700,-1.8118824
13800,-2.018344
13900,-1.8457227
14000,-1.9616414
14100,-1.9216628
14200,-1.8403082
14300,-1.8002402
14400,-1.8119092
14500,-1.8660256
14600,-2.1718612
14700,-1.9405911
14800,-2.370678
14900,-1.9254179
15000,-1.8973361
15100,-2.4971743
15200,-1.9665866
15300,-1.7439381
15400,-1.8126384
15500,-1.8858944
15600,-1.8239183
15700,-1.8625621
15800,-1.8008476
15900,-1.8814791
16000,-2.282934
16100,-1.916949
16200,-1.7636216
16300,-1.784594
16400,-1.914616
16500,-1.7890729
16600,-1.8364286
16700,-2.281409
16800,-1.6946014
16900,-2.2615478
17000,-1.7820046
17100,-2.3851137
17200,-1.831196
17300,-1.7570645
17400,-1.8720272
17500,-2.3891811
17600,-1.7850461
17700,-1.6562376
17800,-1.6858865
17900,-1.8848997
18000,-1.7393539
18100,-1.7086934
18200,-1.849401
18300,-1.768619
18400,-1.7757509
18500,-1.8142315
18600,-1.6975559
18700,-1.7667923
18800,-2.0010564
18900,-1.6974376
19000,-2.381023
19100,-1.704694
19200,-1.7663978
19300,-2.187577
19400,-1.8378295
19500,-2.1855178
19600,-1.7078896
19700,-1.9601531
19800,-2.3731534
19900,-1.8360734
20000,-2.3606305
20100,-1.7786325
20200,-1.699587
20300,-1.7537551
20400,-2.3504314
20500,-1.7931092
20600,-2.3478742
20700,-1.7986354
20800,-1.8019073
20900,-2.126406
21000,-1.7157544
21100,-2.1921742
21200,-1.8246061
21300,-2.1964931
21400,-2.3442872
21500,-2.3662634
21600,-1.9753112
21700,-1.7638866
21800,-1.7116094
21900,-1.7996261
22000,-1.6635016
22100,-1.769674
22200,-1.7446809
22300,-1.7905138
22400,-2.1555755
22500,-1.6913023
22600,-1.7998607
22700,-1.7488639
22800,-2.2973258
22900,-1.7889496
23000,-1.6505122
23100,-1.791177
23200,-1.8228778
23300,-1.8009397
23400,-2.3250554
23500,-1.6540251
23600,-1.8863819
23700,-1.7947049
23800,-1.7876823
23900,-1.79448
24000,-1.7186944
24100,-1.6848533
24200,-1.6862706
24300,-2.1448586
24400,-1.7956237
24500,-1.8113884
24600,-2.1473703
24700,-1.7017888
24800,-1.6869578
24900,-1.781645
25000,-1.6814083
25100,-1.6778177
25200,-1.7823172
25300,-1.6800447
25400,-1.7993561
25500,-1.6839495
25600,-1.778024
25700,-1.6762877
25800,-1.8188285
25900,-1.804897
26000,-1.7401402
26100,-1.7317605
26200,-2.2893057
26300,-1.6963844
26400,-1.6731032
26500,-1.7098805
26600,-1.8550181
26700,-1.728252
26800,-1.7892141
26900,-1.8020042
27000,-1.8241495
27100,-1.8077513
27200,-1.7826598
27300,-1.8276658
27400,-1.8320013
27500,-1.6829039
27600,-1.6881212
27700,-2.2756057
27800,-1.8115011
27900,-1.7210869
28000,-1.7344539
28100,-1.7927759
28200,-1.7342418
28300,-1.7092044
28400,-1.6837621
28500,-1.6752678
28600,-1.7149831
28700,-1.6891087
28800,-1.7444376
28900,-1.7061368
29000,-1.9001138
29100,-1.6670026
29200,-1.6772134
29300,-1.7574141
29400,-1.7760112
29500,-1.8520967
29600,-1.8533828
29700,-2.329178
29800,-1.6968668
29900,-2.2803214
30000,-1.884782
30100,-1.8782421
30200,-1.6677272
30300,-2.3081179
30400,-2.3440592
30500,-1.8840446
30600,-2.3980346
30700,-2.10156
30800,-1.76175
30900,-2.326195
31000,-1.8124766
31100,-1.6996973
31200,-2.294583
31300,-1.6935935
31400,-1.7628427
31500,-1.7481416
31600,-2.0848463
31700,-1.7235914
31800,-1.6605937
31900,-1.7401211
32000,-1.7537466
32100,-1.8057005
32200,-2.3318937
32300,-1.8357267
32400,-1.8337815
32500,-2.1313896
32600,-1.7541841
32700,-2.2151182
32800,-1.853085
32900,-1.7018439
33000,-1.7360574
33100,-1.8064221
33200,-1.934779
33300,-1.6641356
33400,-1.783812
33500,-1.7529614
33600,-2.1344807
33700,-1.7372758
33800,-1.7435067
33900,-1.7172265
34000,-2.1280758
34100,-1.7081436
34200,-2.4124904
34300,-1.75535
34400,-1.8270481
34500,-1.9253492
34600,-1.6974052
34700,-2.1969903
34800,-1.8080075
34900,-1.7465476
35000,-2.3491213
35100,-1.6808435
35200,-1.8715183
35300,-1.8195786
35400,-1.9265877
35500,-1.888649
35600,-1.8294257
35700,-1.7582405
35800,-1.8548747
35900,-1.7282782
36000,-2.3603024
36100,-2.157363
36200,-1.9898001
36300,-1.7672946
36400,-1.7170105
36500,-2.1921463
36600,-1.7226243
36700,-1.7442394
36800,-2.1700492
36900,-1.6981128
37000,-1.7796838
37100,-1.7140393
37200,-2.378752
37300,-2.1445189
37400,-1.7663276
37500,-1.7515347
37600,-1.8235317
37700,-1.9207199
37800,-2.4280775
37900,-2.4290464
38000,-2.0535438
38100,-2.0055065
38200,-1.835695
38300,-1.963759
38400,-1.839721
38500,-1.7386353
38600,-1.9115671
38700,-1.8691592
38800,-2.285411
38900,-1.8492186
39000,-1.8063681
39100,-2.0792122
39200,-1.9859605
39300,-1.7600336
39400,-1.8848026
39500,-1.8913677
39600,-2.295155
39700,-2.3622506
39800,-1.8279793
39900,-1.9437191
40000,-1.9689409
40100,-2.3643844
40200,-1.7695919
40300,-1.8045154
40400,-1.8546362
40500,-1.7988794
40600,-2.312729
40700,-1.783469
40800,-1.6883957
40900,-2.0691278
41000,-2.0554569
41100,-1.843229
41200,-1.7735319
41300,-1.9226062
41400,-1.9366825
41500,-1.7463983
41600,-2.0469692
41700,-1.7586108
41800,-1.9860823
41900,-2.3982804
42000,-1.8237679
42100,-1.8141649
42200,-1.9882789
42300,-2.0233662
42400,-2.406853
42500,-2.0894146
42600,-2.5100062
42700,-2.0444386
42800,-1.9071993
42900,-1.7367909
43000,-1.7848374
43100,-1.8788154
43200,-1.7485974
43300,-1.8244458
43400,-2.4160988
43500,-1.8989935
43600,-1.7370344
43700,-1.8494139
43800,-1.7650597
43900,-2.404607
44000,-1.9082872
44100,-2.256636
44200,-1.832864
44300,-1.7173015
44400,-1.7418222
44500,-1.9320097
44600,-1.6530871
44700,-1.875817
44800,-2.3323221
44900,-1.6462686
45000,-1.7567801
45100,-1.8362551
45200,-2.4334223
45300,-1.7712651
45400,-1.7578884
45500,-2.4933982
45600,-1.8751775
45700,-2.278882
45800,-2.0102122
45900,-1.8087522
46000,-2.4048877
46100,-2.2335615
46200,-1.8753537
46300,-1.9682425
46400,-1.9857733
46500,-1.8455286
46600,-1.974218
46700,-1.7555363
46800,-1.8256603
46900,-1.7768915
47000,-2.2286506
47100,-1.7921137
47200,-2.328005
47300,-2.4332187
47400,-1.7779225
47500,-1.7604222
47600,-2.2615724
47700,-1.7309012
47800,-1.8627537
47900,-1.9291502
48000,-1.7620277
48100,-1.7472076
48200,-1.7571887
48300,-1.9928151
48400,-1.7758113
48500,-1.8407859
48600,-2.3105376
48700,-2.2455366
48800,-1.8334112
48900,-1.8598545
49000,-1.8512801
49100,-2.0204048
49200,-1.9234964
49300,-1.6585717
49400,-2.2772334
49500,-1.9334018
49600,-1.8062546
49700,-2.0797577
49800,-1.811003
49900,-1.9738811
50000,-1.830726
50100,-2.0318983
50200,-1.8038139
50300,-1.762387
50400,-1.8909324
50500,-2.0063
50600,-2.3524559
50700,-1.7048094
50800,-1.8769705
50900,-1.9148632
51000,-2.0466788
51100,-1.6881596
51200,-1.8188576
51300,-1.8348752
51400,-2.4744866
51500,-1.8392307
51600,-1.9523857
51700,-1.7481854
51800,-1.7518158
51900,-1.7279954
52000,-1.6770674
