timestep,average_reward
100,-5.2271876
200,-15.050961
300,-8.742525
400,-3.7863293
500,-2.7690845
600,-2.4884143
700,-2.821945
800,-3.1471817
900,-3.2153335
1000,-2.685235
1100,-2.1469915
1200,-2.1816852
1300,-3.188759
1400,-2.1731882
1500,-2.8985653
1600,-2.0456715
1700,-3.4802406
1800,-1.9286035
1900,-3.1573083
2000,-3.221038
2100,-2.0446763
2200,-3.7532537
2300,-3.3733065
2400,-2.0132084
2500,-3.2249568
2600,-4.0283337
2700,-1.9695228
2800,-3.2171655
2900,-2.1294484
3000,-4.1336026
3100,-3.7689643
3200,-2.018945
3300,-4.077364
3400,-3.4927955
3500,-4.026399
3600,-3.6037717
3700,-3.4496253
3800,-2.095952
3900,-3.455608
4000,-1.9212637
4100,-4.3121376
4200,-3.6173623
4300,-4.334379
4400,-3.8439767
4500,-3.7392266
4600,-2.09395
4700,-4.0516996
4800,-2.1155457
4900,-4.172621
5000,-4.6405797
5100,-4.046014
5200,-4.0109615
5300,-3.4849856
5400,-3.8661587
5500,-2.0875967
5600,-2.1773856
5700,-3.6204271
5800,-2.1030424
5900,-4.254081
6000,-4.1509237
6100,-4.338423
6200,-4.112746
6300,-4.179426
6400,-2.7005363
6500,-3.6913803
6600,-2.3027952
6700,-5.22358
6800,-2.1521869
6900,-2.640964
7000,-4.1846657
7100,-2.771768
7200,-4.212002
7300,-4.884198
7400,-2.0749717
7500,-5.0790834
7600,-4.130792
7700,-2.2421196
7800,-2.1471996
7900,-2.1654801
8000,-2.56717
8100,-2.171773
8200,-4.1013045
8300,-3.6576421
8400,-2.5224502
8500,-2.3123755
8600,-4.615006
8700,-4.4018674
8800,-4.2795153
8900,-4.053819
9000,-3.7601535
9100,-4.5620885
9200,-4.14861
9300,-4.7202535
9400,-4.530223
9500,-2.209033
9600,-2.158059
9700,-2.7089658
9800,-5.4442887
9900,-5.6276073
10000,-2.7652154
10100,-5.9507747
10200,-4.628616
10300,-2.1860633
10400,-4.3985558
10500,-5.0098834
10600,-3.872257
10700,-4.4522843
10800,-2.3403971
10900,-5.704797
11000,-5.451187
11100,-4.747
11200,-4.5700364
11300,-3.4943604
11400,-4.2881155
11500,-2.3996391
11600,-5.290125
11700,-4.8810563
11800,-3.2103763
11900,-2.3359995
12000,-2.661059
12100,-4.5117455
12200,-4.5318174
12300,-2.3052797
12400,-4.2702165
12500,-4.3352633
12600,-2.2298863
12700,-2.2501605
12800,-3.9729736
12900,-2.222594
13000,-5.0920734
13100,-2.2695405
13200,-4.470049
13300,-5.389005
13400,-4.7976284
13500,-2.12103
13600,-4.843391
13700,-4.2572875
13800,-2.0783155
13900,-3.8353312
14000,-4.142064
14100,-3.9782815
14200,-3.9038208
14300,-4.551497
14400,-3.6412563
14500,-4.6551547
14600,-4.4117055
14700,-2.672745
14800,-3.915769
14900,-3.9439907
15000,-2.1424875
15100,-2.2648377
15200,-3.3656125
15300,-3.2179508
15400,-2.7341876
15500,-2.8515394
15600,-2.2194967
15700,-2.7051404
15800,-2.3048398
15900,-3.7781827
16000,-3.5584517
16100,-2.9799757
16200,-2.2559185
16300,-2.6705062
16400,-2.3236256
16500,-3.629814
16600,-2.6411529
16700,-2.7145536
16800,-2.8140218
16900,-2.22552
17000,-2.6019742
17100,-2.4140851
17200,-2.5411777
17300,-2.6490424
17400,-2.5777566
17500,-2.4718876
17600,-2.8038394
17700,-2.2732396
17800,-2.6882715
17900,-2.5372841
18000,-2.3285239
18100,-2.360253
18200,-2.1154892
18300,-2.246704
18400,-2.689633
18500,-2.3293774
18600,-2.5507686
18700,-2.7100904
18800,-2.613421
18900,-2.1793456
19000,-2.3443136
19100,-2.6694307
19200,-2.5489516
19300,-2.0466323
19400,-2.1731637
19500,-2.2027838
19600,-2.0562959
19700,-2.4713857
19800,-2.2167668
19900,-2.176526
20000,-2.1943617
20100,-2.8142028
20200,-2.1817696
20300,-2.608728
20400,-2.3984733
20500,-2.3404984
20600,-2.4146435
20700,-2.3814933
20800,-2.4552107
20900,-2.115645
21000,-1.9193817
21100,-2.1928992
21200,-2.2002833
21300,-2.3439806
21400,-2.3914347
21500,-1.9755754
21600,-2.3412523
21700,-2.3127384
21800,-2.2943308
21900,-2.1696615
22000,-2.1040466
22100,-2.477923
22200,-2.4133468
22300,-2.0093617
22400,-2.095605
22500,-2.368578
22600,-2.3363853
22700,-2.5442302
22800,-2.3664804
22900,-2.439723
23000,-2.7582972
23100,-2.1640756
23200,-2.5252073
23300,-2.6959062
23400,-2.189164
23500,-2.4633012
23600,-2.3265076
23700,-2.3817587
23800,-1.936996
23900,-2.3539443
24000,-2.1451573
24100,-2.3649464
24200,-2.6312804
24300,-2.2436483
24400,-2.0203972
24500,-1.9848549
24600,-2.633665
24700,-2.289031
24800,-2.5292187
24900,-2.6972668
25000,-2.02688
25100,-2.3809402
25200,-2.1948218
25300,-2.022568
25400,-2.4539
25500,-2.775722
25600,-2.606527
25700,-2.1143003
25800,-2.4226449
25900,-2.2797418
26000,-2.1984823
26100,-2.370907
26200,-2.155696
26300,-1.8882308
26400,-2.3883188
26500,-2.6047168
26600,-1.9825315
26700,-2.1740258
26800,-2.4609165
26900,-2.1350164
27000,-2.2467446
27100,-1.9174939
27200,-2.4094443
27300,-2.1331263
27400,-2.1416042
27500,-2.6820295
27600,-2.4043076
27700,-2.1704316
27800,-2.4453614
27900,-2.3606176
28000,-2.215732
28100,-2.2274861
28200,-2.7337723
28300,-2.5938327
28400,-2.4545476
28500,-2.2429397
28600,-2.690298
28700,-2.03473
28800,-2.5875266
28900,-2.5264525
29000,-2.7648232
29100,-2.0862694
29200,-2.6226294
29300,-2.0210106
29400,-2.167711
29500,-2.5075212
29600,-2.442636
29700,-2.111583
29800,-2.3892756
29900,-2.4826026
30000,-1.8892232
30100,-2.1348603
30200,-2.3758593
30300,-2.2434003
30400,-2.106697
30500,-2.1785688
30600,-2.5810142
30700,-2.4334912
30800,-2.074154
30900,-2.3304453
31000,-2.0952353
31100,-2.0827284
31200,-2.2133048
31300,-2.6511045
31400,-2.215039
31500,-2.5342617
31600,-2.1583648
31700,-2.141979
31800,-2.1418762
31900,-2.2554533
32000,-2.1082296
32100,-2.5060601
32200,-1.8891203
32300,-2.2795465
32400,-2.1133568
32500,-1.9906533
32600,-2.0224695
32700,-1.8483676
32800,-2.4537988
32900,-2.3448243
33000,-2.309932
33100,-2.2122781
33200,-2.0855842
33300,-2.3455896
33400,-2.5750375
33500,-2.1088412
33600,-2.514326
33700,-2.6752646
33800,-2.762111
33900,-2.332673
34000,-2.5779428
34100,-2.3204112
34200,-2.3847265
34300,-2.3505373
34400,-2.2325408
34500,-2.392175
34600,-1.9214423
34700,-2.0862746
34800,-2.1739645
34900,-2.212324
35000,-2.6550958
35100,-2.41203
35200,-2.284555
35300,-1.911709
35400,-1.8986205
35500,-2.0586164
35600,-2.2385528
35700,-2.3066058
35800,-2.4201326
35900,-2.0949755
36000,-2.5854015
36100,-2.1757674
36200,-2.264271
36300,-2.0979786
36400,-1.9050189
36500,-2.5401375
36600,-2.6123877
36700,-2.1176333
36800,-2.0340433
36900,-2.4268322
37000,-2.0980499
37100,-2.4103074
37200,-2.5067937
37300,-2.4366665
37400,-2.2304595
37500,-2.1582274
37600,-2.2335868
37700,-2.123385
37800,-1.8974314
37900,-2.7382429
38000,-2.5367107
38100,-2.1791973
38200,-2.2106485
38300,-2.11902
38400,-2.3473806
38500,-2.0209887
38600,-2.3754091
38700,-2.5962157
38800,-2.5167139
38900,-2.4998796
39000,-1.972789
39100,-2.148031
39200,-2.2820294
39300,-2.2330306
39400,-2.446847
39500,-2.142575
39600,-2.4218476
39700,-2.7355392
39800,-2.9038258
39900,-2.109758
40000,-2.2889698
40100,-2.1815152
40200,-2.1363773
40300,-2.7417417
40400,-2.1480408
40500,-2.2976904
40600,-2.2473214
40700,-2.5102258
40800,-2.2183738
40900,-2.2570536
41000,-2.2057989
41100,-2.9894714
41200,-3.2055573
41300,-2.3928094
41400,-2.237142
41500,-2.3965404
41600,-2.615608
41700,-2.0778644
41800,-2.401857
41900,-2.9637313
42000,-2.5821586
42100,-3.0559487
42200,-2.4233968
42300,-2.0842538
42400,-2.7658567
42500,-2.3982167
42600,-2.036184
42700,-2.0991156
42800,-2.7750556
42900,-2.7702513
43000,-2.5090058
43100,-2.1828446
43200,-2.5959876
43300,-2.2132015
43400,-1.9838825
43500,-2.2099924
43600,-2.475603
43700,-2.6944034
43800,-2.984682
43900,-2.063451
44000,-2.307652
44100,-2.6286175
44200,-2.4950104
44300,-2.120869
44400,-2.9182093
44500,-2.0229897
44600,-2.2691865
44700,-2.4441936
44800,-2.3203642
44900,-2.103196
45000,-2.0690768
45100,-2.4759562
45200,-2.162569
45300,-2.3479042
45400,-2.1719885
45500,-2.5973425
45600,-2.2531893
45700,-2.7353997
45800,-2.5821497
45900,-2.8570163
46000,-3.064162
46100,-2.6801398
46200,-2.1470275
46300,-2.4359643
46400,-2.281066
46500,-2.6037436
46600,-2.6056051
46700,-2.3189132
46800,-2.2166336
46900,-2.2387893
47000,-2.9080875
47100,-2.1729934
47200,-2.1783576
47300,-3.0437865
47400,-2.3763318
47500,-2.906198
47600,-2.2684627
47700,-2.7676775
47800,-2.39587
47900,-2.138184
48000,-2.6396558
48100,-2.742299
48200,-2.432032
48300,-2.130425
48400,-2.1824312
48500,-2.8363156
48600,-2.3912945
48700,-3.132418
48800,-2.7419164
48900,-2.2889855
49000,-2.3972955
49100,-2.2644095
49200,-2.119657
49300,-2.4154763
49400,-2.8768198
49500,-2.8027933
49600,-2.6291223
49700,-2.239739
49800,-2.0427039
49900,-2.5518577
50000,-2.7328036
50100,-2.7973025
50200,-2.6554928
50300,-3.0288217
50400,-2.8759942
50500,-2.7795577
50600,-2.3035784
50700,-2.3693478
50800,-2.760828
50900,-2.3648963
51000,-2.0360527
51100,-2.3988717
51200,-2.8237133
51300,-2.872213
51400,-2.0177
51500,-2.0087633
51600,-2.1138375
51700,-2.5129604
51800,-2.2741842
51900,-2.658225
52000,-2.906152
52100,-2.101268
52200,-2.345242
52300,-2.0523295
52400,-2.9478137
52500,-2.0718365
52600,-2.7716632
52700,-2.0841494
52800,-2.5232372
52900,-2.6932354
53000,-2.4069073
53100,-2.3676043
53200,-2.0758626
53300,-2.6573365
53400,-2.181873
53500,-2.497061
53600,-2.1989906
53700,-2.3011138
53800,-2.152658
53900,-3.021749
54000,-2.5624356
54100,-2.5489445
54200,-2.2204065
54300,-2.1938531
54400,-2.1485941
54500,-2.4619744
54600,-2.2679696
54700,-3.0041718
54800,-2.6061294
54900,-2.7571173
55000,-2.1724577
55100,-2.8017702
55200,-2.7162411
55300,-2.503731
55400,-2.080027
55500,-3.1433446
55600,-2.635864
55700,-2.558512
55800,-2.1116211
55900,-2.3591151
56000,-2.5159419
56100,-2.9128757
56200,-2.166084
56300,-2.148875
56400,-2.5692158
56500,-2.229857
56600,-2.1336198
56700,-2.200561
56800,-2.5279021
56900,-2.8414874
57000,-2.731952
57100,-2.3728323
57200,-2.356267
57300,-2.028747
57400,-2.903102
57500,-2.3196888
57600,-2.618409
57700,-2.4795558
57800,-2.6435685
57900,-2.0830472
58000,-2.392352
58100,-2.6664338
58200,-2.3208652
58300,-2.1100113
58400,-2.8202972
58500,-2.8861609
58600,-2.359084
58700,-2.8741844
58800,-2.7287705
58900,-2.6107864
59000,-3.4172072
59100,-2.9256716
59200,-2.6072834
59300,-2.0891764
59400,-2.492295
59500,-2.6813953
59600,-2.6575365
59700,-2.162555
59800,-2.2578106
59900,-2.2952752
60000,-2.2228587
60100,-2.9837556
60200,-2.34725
60300,-2.7855363
60400,-2.9058394
60500,-2.9921198
60600,-2.9176948
60700,-2.3804297
60800,-2.1648073
60900,-3.0055335
61000,-2.6658432
61100,-2.8228948
61200,-2.5010529
61300,-2.4480424
61400,-2.5993311
61500,-2.4805956
61600,-2.5686276
61700,-2.961457
61800,-2.4035232
61900,-2.7000434
62000,-2.7476127
62100,-2.5476844
62200,-2.8412511
62300,-2.619516
62400,-2.5188282
62500,-2.2305682
62600,-2.0537832
62700,-2.9995239
62800,-2.988959
62900,-2.710484
63000,-2.148815
63100,-2.0384674
63200,-2.177619
63300,-2.289273
63400,-2.8837137
63500,-2.2947779
63600,-2.3887527
63700,-2.592949
63800,-2.055601
63900,-2.4804015
64000,-2.1487663
64100,-2.8110435
64200,-2.3619902
64300,-2.082204
64400,-2.1782098
64500,-2.6216547
64600,-2.9424431
64700,-2.4401824
64800,-2.8535166
64900,-2.9169312
65000,-2.9972053
65100,-2.2069137
65200,-2.9131927
65300,-2.4043684
65400,-2.1574047
65500,-2.6240888
65600,-2.0861535
65700,-2.3355322
65800,-2.0770211
65900,-2.7627764
66000,-2.1962128
66100,-2.3639011
66200,-2.0725446
66300,-2.814476
66400,-2.609093
66500,-2.0657978
66600,-2.578041
66700,-2.4765072
66800,-2.636471
66900,-2.5749776
67000,-2.9785461
67100,-2.6044834
67200,-2.393943
67300,-2.38267
67400,-2.5462673
67500,-2.4459536
67600,-2.4631782
67700,-2.111413
67800,-2.3096204
67900,-2.3403802
68000,-2.052884
68100,-2.3394787
68200,-2.0017598
68300,-2.7784925
68400,-2.8863173
68500,-2.3075013
68600,-2.3079913
68700,-2.2287154
68800,-2.1200616
68900,-2.6192658
69000,-2.6682634
69100,-2.858037
69200,-2.8074563
69300,-2.7491324
69400,-2.21304
69500,-2.4564972
69600,-2.199936
69700,-2.2342358
69800,-2.0532045
69900,-2.235783
70000,-2.7618952
70100,-2.2266564
70200,-2.8027802
70300,-2.3678787
70400,-2.221129
70500,-2.6143649
70600,-2.7857413
70700,-2.9029598
70800,-2.5157952
70900,-2.7499683
71000,-2.3814046
71100,-2.1566916
71200,-2.2478495
71300,-2.360092
71400,-2.9005735
71500,-2.2548628
71600,-2.6863716
71700,-2.5177686
71800,-2.1926582
71900,-2.213644
72000,-2.6292672
72100,-2.4202797
72200,-2.447532
72300,-2.392363
72400,-2.8748221
72500,-2.1095676
72600,-2.8305075
72700,-2.352199
72800,-2.2252734
72900,-2.1121268
73000,-2.6278985
73100,-2.2720678
73200,-2.7517273
73300,-2.1800523
73400,-2.7303488
73500,-2.1787188
73600,-2.3280635
73700,-2.3889844
73800,-2.3718054
73900,-2.1603448
74000,-2.6042984
74100,-2.3221724
74200,-3.0682163
74300,-2.5877728
74400,-2.4230921
74500,-2.5574267
74600,-2.5385516
74700,-2.304134
74800,-2.2682874
74900,-2.3308294
75000,-2.8002222
75100,-2.334567
75200,-1.9917732
75300,-2.7621372
75400,-2.248702
75500,-2.9653199
75600,-2.3202558
75700,-2.4876864
75800,-1.9575143
75900,-2.7803366
76000,-2.1001842
76100,-2.250269
76200,-2.5082006
76300,-2.1269195
76400,-2.9887676
76500,-2.842865
76600,-2.0431268
76700,-2.4337833
76800,-2.5364945
76900,-2.3669643
77000,-2.6041076
77100,-2.2696192
77200,-2.173404
77300,-2.4932525
77400,-2.142844
77500,-2.6748672
77600,-2.7813904
77700,-2.1938055
77800,-2.3596728
77900,-2.0422084
78000,-2.2618046
78100,-2.2620015
78200,-2.4087038
78300,-2.9355764
78400,-2.7073662
78500,-2.1164122
78600,-2.7673397
78700,-2.388162
78800,-2.7651694
78900,-2.784549
79000,-2.847847
79100,-2.1769242
79200,-2.6881018
79300,-2.5203881
79400,-2.2054963
79500,-2.3902597
79600,-2.8279524
79700,-2.4441998
79800,-2.3059435
79900,-2.4704156
80000,-2.8682709
80100,-2.7525735
80200,-2.1940944
80300,-2.342678
80400,-2.1410697
80500,-2.0934258
80600,-2.9391978
80700,-2.3901143
80800,-2.2210402
80900,-2.6207874
81000,-2.5443695
81100,-2.2046156
81200,-2.4572086
81300,-2.4057343
81400,-2.2186213
81500,-2.9419494
81600,-2.208911
81700,-2.2799966
81800,-2.882531
81900,-2.6153643
82000,-2.16218
82100,-2.5278647
82200,-2.439002
82300,-2.4302065
82400,-2.2725735
82500,-2.4169505
82600,-2.2576382
82700,-2.2950182
82800,-2.8641634
82900,-2.5395157
83000,-2.4738925
83100,-2.4527965
83200,-2.4334633
83300,-2.2200978
83400,-2.866543
83500,-2.399342
83600,-2.219097
83700,-2.1454504
83800,-2.120501
83900,-2.2090936
84000,-2.2221851
84100,-2.4342396
84200,-2.7704053
84300,-2.2322428
84400,-2.4134378
84500,-2.2536335
84600,-2.3563263
84700,-2.5032918
84800,-2.1848888
84900,-2.1952596
85000,-2.5583477
85100,-2.160876
85200,-2.7276053
