timestep,average_reward
100,-7.228361
200,-5.4118757
300,-3.6308606
400,-3.8285449
500,-2.482432
600,-2.616023
700,-2.3634932
800,-2.6473763
900,-2.252938
1000,-1.9497159
1100,-2.6721244
1200,-2.6543336
1300,-2.5711646
1400,-2.8535302
1500,-2.3915648
1600,-2.6599054
1700,-2.6177812
1800,-2.3074067
1900,-2.467771
2000,-1.8716778
2100,-2.50838
2200,-2.0218399
2300,-2.0883048
2400,-2.7238102
2500,-2.7448394
2600,-1.9388887
2700,-2.647155
2800,-2.7905848
2900,-2.8203852
3000,-2.6802452
3100,-1.9538132
3200,-2.030895
3300,-2.6197655
3400,-2.4430609
3500,-2.7681837
3600,-2.6223886
3700,-1.9312243
3800,-1.8698674
3900,-2.2106245
4000,-1.7421542
4100,-2.5524998
4200,-1.820948
4300,-1.9068898
4400,-1.8363892
4500,-1.9358891
4600,-1.9018717
4700,-2.782874
4800,-1.89259
4900,-2.7548592
5000,-1.861707
5100,-2.1446202
5200,-2.0616689
5300,-2.6721108
5400,-1.8337387
5500,-2.8693871
5600,-2.6715074
5700,-2.5623538
5800,-2.6594074
5900,-2.3932247
6000,-2.4825492
6100,-2.48377
6200,-2.364988
6300,-2.2650526
6400,-2.4199889
6500,-2.0452018
6600,-2.3097472
6700,-1.8885281
6800,-1.8735543
6900,-2.009091
7000,-2.492066
7100,-1.8971412
7200,-2.0846066
7300,-2.1822898
7400,-2.1763487
7500,-2.0356333
7600,-2.0836496
7700,-1.8140216
7800,-1.9446679
7900,-2.4880214
8000,-1.8759979
8100,-2.3360891
8200,-2.0111327
8300,-1.8436272
8400,-1.9103234
8500,-1.900389
8600,-2.3541133
8700,-2.1915593
8800,-1.8784679
8900,-2.1436245
9000,-1.9511077
9100,-2.1340504
9200,-1.9899576
9300,-2.0887687
9400,-2.156659
9500,-1.9983945
9600,-1.9138597
9700,-1.8728443
9800,-2.200341
9900,-2.1826618
10000,-1.8811593
10100,-1.8474373
10200,-1.8373251
10300,-2.6215365
10400,-2.068941
10500,-2.3907294
10600,-2.006673
10700,-1.9343879
10800,-2.1370115
10900,-1.934622
11000,-2.1671007
11100,-2.452607
11200,-2.0821621
11300,-1.9895086
11400,-2.054252
11500,-2.0534277
11600,-2.0634017
11700,-2.2627974
11800,-2.752341
11900,-2.9490783
12000,-2.2532637
12100,-3.1151025
12200,-2.4467537
12300,-2.2909002
12400,-2.054772
