timestep,average_reward
100,-5.342776
200,-6.0333157
300,-4.38082
400,-7.520326
500,-6.8668118
600,-6.1847334
700,-3.031589
800,-2.7601652
900,-2.2329245
1000,-2.2480407
1100,-2.6030405
1200,-2.2063394
1300,-2.3675537
1400,-2.331546
1500,-2.4970748
1600,-2.4978042
1700,-2.552484
1800,-2.5166826
1900,-2.4984446
2000,-2.515599
2100,-1.8905654
2200,-1.9444367
2300,-2.9372861
2400,-1.974433
2500,-2.8176694
2600,-2.396271
2700,-2.0438218
2800,-2.6635265
2900,-2.787286
3000,-2.6264641
3100,-2.6367908
3200,-2.6563306
3300,-2.7287638
3400,-2.4886835
3500,-2.611618
3600,-2.6725435
3700,-2.5166252
3800,-1.9446461
3900,-1.9463115
4000,-2.4630406
4100,-2.0241244
4200,-2.6834445
4300,-1.9721293
4400,-1.9525906
4500,-2.358057
4600,-2.6218967
4700,-2.5375874
4800,-2.127295
4900,-2.290301
5000,-2.59976
5100,-2.4136672
5200,-2.0679328
5300,-2.4000742
5400,-2.2074358
5500,-2.1577685
5600,-2.163346
5700,-2.36667
5800,-2.2031298
5900,-2.1104846
6000,-2.2249036
6100,-2.174405
6200,-2.2440925
6300,-2.1521099
6400,-2.2019172
6500,-2.2809966
6600,-2.252694
6700,-2.1011486
6800,-2.1169686
6900,-2.3379252
7000,-2.218892
7100,-2.2055998
7200,-2.3988996
7300,-2.2711365
7400,-2.248093
7500,-2.203848
7600,-2.0070782
7700,-2.0693252
7800,-2.1849418
7900,-2.023116
8000,-2.348191
8100,-2.3996
8200,-2.30352
8300,-2.0592692
8400,-2.2759507
8500,-1.9672929
8600,-2.290594
8700,-2.156517
8800,-2.4023323
8900,-2.4026997
9000,-2.4789865
9100,-2.1105497
9200,-2.222747
9300,-1.9152881
9400,-2.0918393
9500,-2.044422
9600,-1.7044722
9700,-1.7829943
9800,-1.8607517
9900,-2.3391023
10000,-2.2433245
10100,-2.0745757
10200,-1.910347
10300,-1.9430014
10400,-1.7407906
10500,-1.7597157
10600,-2.1344116
10700,-2.326608
10800,-1.8597814
10900,-2.1040542
11000,-2.1581318
11100,-2.138051
11200,-2.1790528
11300,-1.8406935
11400,-2.2825692
11500,-1.857357
11600,-1.8215762
11700,-2.1026442
11800,-2.2670603
11900,-2.1687768
12000,-2.0326643
12100,-2.2935703
12200,-1.8291718
12300,-2.3668282
12400,-2.276489
12500,-2.4154556
12600,-2.2473602
12700,-2.322038
12800,-1.7424604
12900,-2.3480625
13000,-2.2651873
13100,-2.409501
13200,-1.744345
13300,-1.7485213
13400,-2.4525177
13500,-1.8023484
13600,-1.7628696
13700,-2.395339
13800,-2.3286963
13900,-1.881103
14000,-2.1755
14100,-2.321217
14200,-1.7914525
14300,-1.9514295
14400,-2.3051531
14500,-1.8461785
14600,-2.4850628
14700,-2.4817715
14800,-2.2962756
14900,-1.866523
15000,-1.7228284
15100,-2.4529705
