timestep,average_reward
100,-7.3059983
200,-7.8802047
300,-13.394048
400,-4.3245683
500,-2.1785247
600,-2.4627917
700,-2.456249
800,-2.475365
900,-2.1553965
1000,-2.032606
1100,-2.620838
1200,-2.7044213
1300,-2.2014823
1400,-2.808124
1500,-2.6250336
1600,-2.661073
1700,-2.6444714
1800,-2.236208
1900,-2.1272118
2000,-2.2221932
2100,-2.2329786
2200,-2.6149132
2300,-2.0120857
2400,-2.621754
2500,-2.5208182
2600,-2.3746893
2700,-2.8692825
2800,-2.365773
2900,-2.796651
3000,-2.5865905
3100,-2.3935306
3200,-2.0499277
3300,-2.0542464
3400,-2.424221
3500,-2.368909
3600,-2.4403825
3700,-2.3236372
3800,-2.4228628
3900,-2.4427028
4000,-2.3199189
4100,-2.1816442
4200,-2.3749564
4300,-2.2805762
4400,-2.2931767
4500,-2.2360587
4600,-2.1695948
4700,-2.180287
4800,-2.0819912
4900,-2.2754169
5000,-2.0387902
5100,-2.3450196
5200,-1.8383795
5300,-1.9901345
5400,-2.0543623
5500,-2.2070758
5600,-2.1411285
5700,-2.095992
5800,-1.9872158
5900,-2.1415327
6000,-2.4684048
6100,-2.132736
6200,-2.2719347
6300,-1.8663988
6400,-2.3836617
6500,-2.1419804
6600,-1.9652297
6700,-2.3354864
6800,-2.1895437
6900,-2.2254941
7000,-2.0366776
7100,-2.0362184
7200,-1.9399583
7300,-2.3772955
7400,-2.0301135
7500,-2.164765
7600,-2.1056647
7700,-1.9349222
7800,-2.0471516
7900,-2.352123
8000,-2.0336921
8100,-2.017683
8200,-2.3344536
8300,-2.1403902
8400,-2.0651555
8500,-2.1307502
8600,-2.0556676
8700,-2.0415676
8800,-2.3111181
8900,-2.3353405
9000,-2.1314394
9100,-2.0116735
9200,-1.9876382
9300,-2.0454168
9400,-2.2513764
9500,-2.098507
9600,-1.9477894
9700,-2.4303453
9800,-2.3338935
9900,-2.0083337
10000,-2.1805704
10100,-2.0499542
10200,-1.8169184
10300,-1.9542416
10400,-1.9517349
10500,-2.0258904
10600,-1.835276
10700,-2.195862
10800,-2.1889062
10900,-2.3451903
11000,-2.0417109
11100,-1.9816442
11200,-1.9450479
11300,-2.4233646
11400,-1.9516132
11500,-2.174231
11600,-2.4751344
11700,-2.1887324
11800,-2.2367604
11900,-2.2536964
12000,-2.4853575
12100,-2.0960517
12200,-2.2822256
12300,-2.0755568
12400,-2.3574898
12500,-2.16764
12600,-2.3499103
12700,-2.3539777
12800,-2.326964
12900,-2.3691258
13000,-1.9585379
13100,-2.1397986
13200,-2.0566258
13300,-2.2998335
13400,-1.9641485
13500,-2.1378973
13600,-2.2063568
13700,-2.2074358
13800,-2.3859396
13900,-2.2803388
14000,-2.0057585
14100,-3.0408063
14200,-2.4571357
14300,-2.643805
14400,-2.5333133
14500,-2.6570346
14600,-2.7786949
14700,-2.6000347
14800,-2.3810892
14900,-2.3562064
15000,-2.839376
15100,-2.146451
15200,-2.513763
15300,-2.4983704
15400,-2.1184595
15500,-2.1185303
15600,-2.0416987
15700,-2.2929933
15800,-2.1242816
15900,-2.545769
16000,-1.8203877
16100,-2.2855253
16200,-2.2106354
16300,-1.8577282
16400,-2.0822453
16500,-2.1436822
16600,-2.214353
16700,-2.2021685
16800,-1.9409214
16900,-2.2553155
17000,-2.3491526
17100,-2.1331942
17200,-2.1499252
17300,-1.8716316
17400,-2.0525224
17500,-1.841536
17600,-2.006459
17700,-2.460168
17800,-2.3218849
17900,-2.3046703
18000,-2.4129977
18100,-2.1514046
18200,-2.2337906
18300,-2.3621857
18400,-2.2204971
18500,-1.9762447
18600,-2.3286
18700,-1.9041791
18800,-2.0776105
18900,-2.2132046
19000,-2.2215066
19100,-1.996225
19200,-1.8742748
19300,-1.8716781
19400,-1.9604253
19500,-2.185011
19600,-2.1964052
19700,-2.3007352
19800,-2.3076742
19900,-2.0854492
20000,-2.3477497
20100,-2.4565873
20200,-2.1651325
20300,-2.2193074
20400,-2.468402
20500,-2.4497766
20600,-2.0882661
20700,-2.4650278
20800,-2.1953356
20900,-2.29313
21000,-2.183636
21100,-2.3613594
21200,-2.2897089
21300,-2.385335
21400,-1.8227746
21500,-2.188958
21600,-2.352352
21700,-2.0090501
21800,-2.0923123
21900,-2.1502182
22000,-2.2543366
22100,-1.9865166
22200,-2.21399
22300,-1.884748
22400,-2.219859
22500,-1.9985646
22600,-2.6053703
22700,-1.8310466
22800,-2.2619877
22900,-2.3253942
23000,-2.2516983
23100,-1.9781128
23200,-2.4536521
23300,-2.4137416
23400,-1.8154159
23500,-2.1274748
23600,-2.2296174
23700,-2.1137028
23800,-2.027731
23900,-2.0292664
24000,-1.83449
24100,-2.2635057
24200,-2.2009778
24300,-2.2063098
24400,-2.1533504
24500,-1.7604598
24600,-2.1996155
24700,-2.473667
24800,-2.3247924
24900,-2.5275493
25000,-1.7794801
25100,-2.2447855
25200,-2.304486
25300,-2.3106647
25400,-2.496542
25500,-2.2843344
25600,-2.3188133
25700,-1.7634832
25800,-2.403501
25900,-2.2857826
26000,-2.4748232
26100,-2.447562
26200,-2.4422748
26300,-2.4993496
26400,-2.240797
26500,-2.1384475
26600,-1.9831792
26700,-2.3675284
26800,-2.109978
26900,-2.0306718
27000,-2.151101
27100,-2.425855
27200,-2.4503074
27300,-2.194504
27400,-2.2461543
27500,-2.3935795
27600,-2.238141
27700,-2.2905726
27800,-2.3374693
27900,-2.2788534
28000,-1.9946258
28100,-1.9231522
28200,-2.10649
28300,-2.4776795
28400,-2.1725876
28500,-1.7373171
28600,-2.4157336
28700,-2.170545
28800,-2.4766245
28900,-2.2784252
29000,-2.0461767
29100,-2.0949905
29200,-2.3920186
29300,-2.0091805
29400,-2.712593
29500,-2.6618695
29600,-1.8398389
29700,-2.5857651
29800,-2.169066
29900,-2.1170547
30000,-2.362604
30100,-2.7014322
30200,-2.3901136
30300,-2.506463
30400,-2.4194524
30500,-2.308266
30600,-2.4009356
30700,-2.318188
30800,-2.1223388
30900,-2.63093
31000,-1.9793477
31100,-1.7774092
31200,-2.583446
31300,-2.5665026
31400,-2.6840484
31500,-2.791048
31600,-2.8082557
31700,-2.2459626
31800,-2.753833
31900,-2.52398
32000,-1.9336839
32100,-2.3274717
32200,-2.361654
32300,-2.0678551
32400,-2.157962
32500,-1.7867371
32600,-2.5144722
32700,-1.8275218
32800,-2.1407459
32900,-2.9681132
33000,-2.567058
33100,-2.3249502
33200,-2.686483
33300,-2.4115548
33400,-2.1477878
33500,-2.4246857
33600,-2.3742554
33700,-1.9604976
33800,-2.3639104
33900,-2.479759
34000,-2.089269
34100,-2.208109
34200,-2.4762142
34300,-2.5417883
34400,-2.8658288
34500,-2.5574892
34600,-2.5964723
34700,-2.502324
34800,-2.4188802
34900,-2.3020573
35000,-1.9130471
35100,-1.896408
35200,-2.0582054
35300,-2.5236683
35400,-2.2172937
35500,-2.259984
35600,-2.295644
35700,-2.0006943
35800,-1.8162663
35900,-2.2134185
36000,-2.2679791
36100,-2.4510043
36200,-2.080639
36300,-2.4943674
36400,-1.7706692
36500,-2.564086
36600,-2.1806405
36700,-2.211631
36800,-1.7947687
36900,-2.6261306
37000,-1.967491
37100,-1.9765259
37200,-2.3521934
37300,-2.2471511
37400,-2.1557946
37500,-1.9813821
37600,-2.1278002
37700,-2.4933262
37800,-2.3853812
37900,-1.850879
38000,-2.431299
38100,-1.8398509
38200,-2.260579
38300,-1.9644052
38400,-2.4892347
38500,-2.3134131
38600,-2.1348863
38700,-1.8316488
38800,-2.4395933
38900,-1.7386787
39000,-2.1188495
39100,-1.872819
39200,-2.2587905
39300,-1.8108734
39400,-2.4768744
39500,-2.076249
39600,-1.7557522
39700,-2.1065924
39800,-2.6706464
39900,-2.0184658
40000,-2.345692
40100,-2.1566277
40200,-2.476127
40300,-2.4603477
40400,-2.5507424
40500,-1.9516776
40600,-2.5984619
40700,-2.7627027
40800,-2.245013
40900,-2.2593615
41000,-2.0827732
41100,-1.7466002
41200,-1.9225974
41300,-2.4399292
41400,-2.3297052
41500,-2.4318843
41600,-2.373166
41700,-2.2253747
41800,-2.1926684
41900,-2.3734603
42000,-2.3927865
42100,-2.3617349
42200,-2.121447
42300,-2.4201326
42400,-2.2441797
42500,-2.6432095
42600,-2.132269
42700,-2.4371016
42800,-1.8235252
42900,-1.9062173
43000,-2.4177692
43100,-1.8169936
43200,-2.3380036
43300,-2.0296717
43400,-2.4183407
43500,-2.4053667
43600,-2.3940666
43700,-2.2847419
43800,-2.120114
43900,-1.9313937
44000,-2.341613
44100,-2.0219455
44200,-2.5264864
44300,-2.3436668
44400,-2.1756022
44500,-2.5467076
44600,-1.8747871
44700,-2.8786335
44800,-2.4382176
44900,-2.5647993
45000,-2.528254
45100,-2.0977235
45200,-2.2907393
45300,-2.077085
45400,-2.7257934
45500,-2.3506997
45600,-2.591945
45700,-2.0526185
45800,-1.9797398
45900,-2.0946093
46000,-2.6441302
46100,-2.642695
46200,-2.3925838
46300,-2.0732307
46400,-2.800233
46500,-2.4363756
46600,-2.033542
46700,-2.6518013
46800,-2.5801687
46900,-2.3405828
47000,-2.157375
47100,-2.5629754
47200,-2.1104035
47300,-2.6697204
47400,-2.458141
47500,-2.538825
47600,-2.5341463
47700,-2.1088514
47800,-1.9892077
47900,-1.8304114
48000,-2.7835703
48100,-2.0859723
48200,-2.0967424
48300,-2.7763867
48400,-1.8753144
48500,-2.5720923
48600,-2.126596
48700,-2.3918796
48800,-1.9635686
48900,-2.780984
49000,-2.7337446
49100,-2.757948
49200,-1.7584577
49300,-2.1210485
49400,-2.590236
49500,-3.0794208
49600,-2.6107132
49700,-2.5615199
49800,-2.812389
49900,-1.8747962
50000,-1.8893558
50100,-2.119464
50200,-2.1022384
50300,-2.7083468
50400,-2.6759276
50500,-1.975623
50600,-1.9881536
50700,-1.9603505
50800,-2.7629125
50900,-1.9579221
51000,-1.9154302
51100,-2.8765633
51200,-2.4181578
51300,-2.802807
51400,-2.5244155
51500,-2.6154635
51600,-2.778549
51700,-2.6329477
51800,-3.0430906
51900,-2.8730156
52000,-2.098222
52100,-2.048775
52200,-1.9159563
52300,-2.5618691
52400,-2.470681
52500,-2.542013
52600,-2.3736885
52700,-2.626917
52800,-2.7621768
52900,-2.76156
53000,-2.5866241
53100,-2.0846198
53200,-2.5335746
53300,-2.159145
53400,-2.5874522
53500,-2.0901139
53600,-2.490641
53700,-1.9287441
53800,-2.2151906
53900,-2.3500397
54000,-1.9036117
54100,-2.0361643
54200,-2.3399343
54300,-2.7320786
54400,-1.8794541
54500,-3.1002674
54600,-1.8994325
54700,-2.6358209
54800,-2.511447
54900,-2.051653
55000,-2.407334
55100,-2.1049967
55200,-2.4972808
55300,-2.3264494
55400,-2.3343341
55500,-2.5548444
55600,-2.2644968
55700,-2.0872848
55800,-2.0976043
55900,-2.553302
56000,-2.7494478
56100,-2.1421425
56200,-2.4033897
56300,-1.8081402
56400,-2.1409347
56500,-2.05297
56600,-2.7972682
56700,-2.822607
56800,-2.5910249
56900,-1.914475
57000,-2.419965
57100,-1.8525586
57200,-1.9346575
57300,-2.4492247
57400,-1.9591371
57500,-2.9673302
57600,-2.062443
57700,-2.6203187
57800,-2.4911487
57900,-2.0273342
58000,-2.886443
58100,-2.1211784
58200,-2.0824406
58300,-2.7515714
58400,-2.5025573
58500,-2.5002084
58600,-2.6305985
58700,-2.8160331
58800,-2.0671566
58900,-1.8609923
59000,-2.5732644
59100,-2.695314
59200,-2.6614769
59300,-2.9108381
59400,-1.8518673
59500,-2.5215347
59600,-2.1306999
59700,-3.1058168
59800,-2.4982114
59900,-2.7923424
60000,-1.7628865
60100,-2.5591974
60200,-2.6941175
60300,-2.0669928
60400,-2.320677
60500,-2.7336445
60600,-2.7551131
60700,-2.7579505
60800,-2.95503
60900,-1.9474503
61000,-2.736566
61100,-2.5749192
61200,-2.8196042
61300,-2.2102816
61400,-1.8903209
61500,-2.6680198
61600,-1.8504694
61700,-2.634443
61800,-1.9734282
61900,-2.9408255
62000,-2.7217503
62100,-2.2037828
62200,-2.0035443
62300,-2.770581
62400,-2.1191049
62500,-2.6743946
62600,-1.851579
62700,-1.7820077
62800,-2.625367
62900,-1.8814949
63000,-2.729588
63100,-2.1639938
63200,-2.5215063
63300,-2.7930214
63400,-2.5192835
63500,-2.625682
63600,-1.9869494
63700,-1.9604794
63800,-2.0147252
63900,-2.1205435
64000,-2.1167233
64100,-1.7817646
64200,-2.5918522
64300,-2.725718
64400,-2.5571978
64500,-2.6070356
64600,-2.3896275
64700,-2.7267258
64800,-2.4073102
64900,-1.9966447
65000,-2.7527971
65100,-2.5016458
65200,-2.657295
65300,-2.1244245
65400,-2.6016467
65500,-2.7257242
65600,-2.3135765
65700,-2.4549913
65800,-1.9103627
65900,-2.6455393
66000,-1.8520218
66100,-2.7487626
66200,-1.8126271
66300,-2.5814402
