timestep,average_reward
100,-8.597313
200,-11.831629
300,-6.1769757
400,-2.746756
500,-4.1999855
600,-2.8211825
700,-2.6004477
800,-2.6433334
900,-2.1773553
1000,-2.3132083
1100,-2.588807
1200,-2.1588664
1300,-2.0640702
1400,-2.650914
1500,-1.9927433
1600,-3.2294369
1700,-2.3027122
1800,-2.6409118
1900,-2.8164377
2000,-2.2075129
2100,-2.347985
2200,-2.2585135
2300,-2.8251808
2400,-2.5958211
2500,-2.600058
2600,-2.2464075
2700,-2.5259798
2800,-2.1899776
2900,-2.5330865
3000,-2.763103
3100,-2.095115
3200,-2.3006577
3300,-2.2734535
3400,-2.1409256
3500,-2.82439
3600,-2.5910609
3700,-2.3017848
3800,-2.7068505
3900,-2.4307144
4000,-2.3726087
4100,-2.6158788
4200,-2.3623054
4300,-2.7331376
4400,-2.2748802
4500,-2.5227838
4600,-2.1608047
4700,-2.1335256
4800,-2.013578
4900,-2.2280908
5000,-2.173231
5100,-1.9754422
5200,-2.1416178
5300,-1.8840413
5400,-1.9459901
5500,-2.4824827
5600,-3.104255
5700,-2.9352186
5800,-3.0517132
5900,-2.2474616
6000,-2.0974221
6100,-2.40821
6200,-2.2603195
6300,-2.4789743
6400,-2.3284569
6500,-2.1441665
6600,-2.8600233
6700,-2.9507897
6800,-1.8890442
6900,-1.8785689
7000,-3.867671
7100,-3.496449
7200,-1.93695
7300,-4.14486
7400,-4.2524104
7500,-3.0742023
7600,-2.4289134
7700,-2.0927742
7800,-2.45541
7900,-1.9609946
8000,-1.8856431
8100,-3.8281395
8200,-3.6419
8300,-2.6418557
8400,-2.459531
8500,-3.712423
8600,-3.6869333
8700,-2.1098948
8800,-2.8298316
8900,-3.6917481
9000,-2.9496102
9100,-1.929297
9200,-3.0666177
9300,-2.9390097
9400,-1.9105461
9500,-4.003119
9600,-3.5915997
9700,-3.5293283
9800,-3.9071538
9900,-1.9686474
10000,-2.4662154
10100,-3.0043726
10200,-1.9302896
10300,-4.667723
10400,-4.086401
10500,-3.0276577
10600,-3.8037808
10700,-1.9511756
10800,-3.5440006
10900,-3.157749
11000,-3.2008162
11100,-3.0575745
11200,-1.9831604
11300,-2.0429075
11400,-1.9969559
11500,-2.7592807
11600,-4.012564
11700,-2.0770068
11800,-2.6542988
11900,-4.518184
12000,-2.0060115
12100,-2.1228468
12200,-3.3133285
12300,-4.2106614
12400,-2.0409055
12500,-4.0024667
12600,-4.488585
12700,-2.9509256
12800,-2.0531127
12900,-3.0421522
13000,-4.78627
13100,-1.9594474
13200,-1.9462122
13300,-4.2423887
13400,-1.9895484
13500,-3.1601844
13600,-3.7984807
13700,-1.8788
13800,-3.0574844
13900,-3.4926624
14000,-4.2284865
14100,-3.3295834
14200,-2.9172463
14300,-4.0044847
14400,-3.1706362
14500,-3.1495712
14600,-2.585346
14700,-1.9260793
14800,-2.7038996
14900,-3.1533487
15000,-2.6443205
15100,-2.7694528
15200,-2.7574966
15300,-4.112731
15400,-3.0946538
15500,-4.353171
15600,-1.9357723
15700,-2.0096831
15800,-1.9907889
15900,-2.62321
16000,-2.0132444
16100,-2.1103103
16200,-4.3719854
16300,-1.9394135
16400,-2.1635208
16500,-3.0628545
16600,-4.074702
16700,-3.125718
16800,-3.2032547
16900,-2.1832519
17000,-3.5022898
17100,-2.5803573
17200,-3.6537435
17300,-2.4589086
17400,-3.7167063
17500,-1.9588034
17600,-3.219542
17700,-2.9836538
17800,-2.310096
17900,-3.2047403
18000,-2.944462
18100,-3.7202346
18200,-3.1613784
18300,-3.3139832
18400,-2.8253498
18500,-2.6523426
18600,-3.3108654
18700,-3.2005603
18800,-2.7255933
18900,-2.6872709
19000,-2.804962
19100,-3.1428957
19200,-2.0512028
19300,-3.0251462
19400,-1.891078
19500,-2.0691583
19600,-3.3548086
19700,-2.1186357
19800,-3.4118161
19900,-3.7988644
20000,-1.9607106
20100,-3.7449975
20200,-2.8057392
20300,-2.5636778
20400,-2.6602283
20500,-2.6950948
20600,-1.9818578
20700,-1.9265399
20800,-1.9654163
20900,-2.525163
21000,-2.1126485
21100,-2.0602522
21200,-3.1031437
21300,-2.916969
21400,-1.9503944
21500,-3.1978967
21600,-1.9342468
21700,-2.0170484
21800,-2.687939
21900,-1.9899069
22000,-1.9376909
22100,-1.9166305
22200,-3.2430072
22300,-3.2062342
22400,-3.0591047
22500,-2.311184
22600,-1.9531493
22700,-2.0782108
22800,-1.9766078
22900,-3.7903192
23000,-2.0090265
23100,-2.0397477
23200,-2.0045571
23300,-3.1437042
23400,-2.1183853
23500,-2.9312458
23600,-2.5802953
23700,-1.9453578
23800,-2.0110705
23900,-1.9897873
24000,-2.0756593
24100,-2.6963828
24200,-3.045919
