timestep,average_reward
400,-4.8741207
800,-2.4912314
1200,-2.268374
1600,-2.3568783
2000,-2.1188498
2400,-2.3104343
2800,-2.235116
3200,-2.1861613
3600,-2.1618638
4000,-2.084807
4400,-2.0267189
4800,-2.003914
5200,-2.0323477
5600,-1.9965683
6000,-2.147056
6400,-2.072291
6800,-2.1337883
7200,-2.0152152
7600,-1.9760559
8000,-2.0305505
8400,-2.0233974
8800,-1.9745163
9200,-2.1628222
9600,-2.1568015
10000,-2.0477426
10400,-2.0355635
10800,-2.0244994
11200,-2.0700665
11600,-2.2308247
12000,-2.0177104
12400,-2.185348
12800,-2.0355875
13200,-2.0018387
13600,-1.9686426
14000,-2.0023654
14400,-1.9558902
14800,-1.9730841
15200,-2.1056418
15600,-1.9527794
16000,-2.0147328
16400,-1.9261124
16800,-2.1239243
17200,-1.9557937
17600,-1.9580785
18000,-1.9743489
18400,-1.9696556
18800,-1.9856055
19200,-2.1455657
19600,-2.1004958
20000,-2.1183732
20400,-1.9664115
20800,-1.9567506
21200,-1.9367398
21600,-1.9308118
22000,-1.9551767
22400,-1.9834225
22800,-1.9083388
23200,-2.0064166
23600,-2.1596036
24000,-2.012413
24400,-1.9325533
24800,-1.976397
25200,-1.9725207
25600,-2.119165
26000,-1.9646072
26400,-1.9604224
26800,-1.9678973
27200,-2.103288
27600,-2.118426
28000,-2.1061573
28400,-1.8982902
28800,-2.0978413
29200,-1.968247
29600,-2.097197
30000,-2.109568
30400,-1.9497334
30800,-1.9600775
31200,-2.1073258
31600,-2.0998733
32000,-1.9689636
32400,-1.9614865
32800,-2.0983438
33200,-1.9702878
33600,-1.9851779
34000,-2.1010962
34400,-1.940765
34800,-1.9751079
35200,-1.9283683
35600,-2.0833743
36000,-1.9707379
36400,-2.105954
36800,-1.9488353
37200,-2.1167872
37600,-2.1326041
38000,-1.9648327
38400,-2.1549287
38800,-1.9611589
39200,-2.1131005
39600,-2.159315
40000,-2.1142135
40400,-2.1011038
40800,-2.0849733
41200,-1.9822202
41600,-1.9393011
42000,-1.9277955
42400,-2.1563814
42800,-2.1488857
43200,-1.9780518
43600,-2.153986
44000,-2.009826
44400,-2.055411
44800,-1.9468567
45200,-1.9910032
45600,-2.0043397
46000,-2.0027292
46400,-2.1319861
46800,-2.076697
47200,-2.1123307
47600,-2.0946522
48000,-2.0144808
48400,-2.1549778
48800,-2.1162665
49200,-2.1313696
49600,-2.0126438
50000,-1.982277
50400,-1.9856496
50800,-1.9630022
51200,-2.021012
51600,-2.1148689
52000,-2.0135834
52400,-2.0193074
52800,-2.1216881
53200,-1.9543118
53600,-1.987908
54000,-2.1682744
54400,-2.1495206
54800,-2.007941
55200,-2.0390036
55600,-2.1264498
56000,-1.9242263
56400,-2.0210745
56800,-1.956839
57200,-2.015107
57600,-1.9865662
58000,-1.9517186
58400,-2.015039
58800,-1.9791492
59200,-2.0140502
59600,-1.9312108
60000,-1.9679413
60400,-2.015686
60800,-1.9741058
61200,-2.100921
61600,-2.017249
62000,-2.1384623
62400,-2.0027945
62800,-1.9955299
63200,-2.1538546
63600,-2.177057
64000,-1.9877615
64400,-2.2136185
64800,-2.1925364
65200,-1.9992511
65600,-1.9641135
66000,-1.971285
66400,-1.9895272
66800,-2.133463
67200,-2.1724548
67600,-2.150813
68000,-2.0189567
68400,-1.9875702
68800,-2.0052338
69200,-1.9934747
69600,-1.9755616
70000,-2.177887
70400,-1.9664226
70800,-2.130245
71200,-2.156605
71600,-1.9437298
72000,-2.0368102
72400,-2.0039368
72800,-2.0263598
73200,-2.176454
73600,-1.9587588
74000,-2.131134
74400,-1.9817678
74800,-2.1169724
75200,-1.9652581
75600,-1.9970013
76000,-1.9272975
76400,-1.9620798
76800,-2.1022713
77200,-2.1387475
77600,-1.950624
78000,-2.0075302
78400,-2.1310704
78800,-1.9604728
79200,-1.9947723
79600,-2.014678
80000,-2.180464
80400,-1.9534311
80800,-2.154793
81200,-2.0136628
81600,-2.005386
82000,-2.1410232
82400,-2.1549816
82800,-2.1545105
83200,-1.9991105
83600,-1.9991046
84000,-1.9299484
84400,-1.98392
84800,-1.9832159
85200,-2.1828623
85600,-2.1927545
86000,-2.1728737
86400,-2.0229325
86800,-1.9505609
87200,-2.1312258
87600,-2.0026042
88000,-1.9990879
88400,-2.1591022
88800,-2.1389034
89200,-1.9905678
89600,-2.1711273
90000,-1.9974481
90400,-1.925406
90800,-1.9079334
91200,-1.9979334
91600,-2.1248035
92000,-1.963887
92400,-2.0062613
92800,-1.9456595
93200,-2.1378078
93600,-1.9904873
94000,-2.0029655
94400,-2.0086274
94800,-2.2042854
95200,-2.1696699
95600,-1.9730612
96000,-2.0368273
96400,-2.0139894
96800,-2.1138778
97200,-1.9361894
97600,-1.987709
98000,-1.9983122
98400,-2.195382
98800,-2.1465042
99200,-1.9375151
99600,-2.1775455
100000,-2.14318
