timestep,average_reward
100,-6.875333
200,-4.4608502
300,-2.4157352
400,-2.1621227
500,-2.200141
600,-1.6892128
700,-2.6708155
800,-2.2224119
900,-2.2779832
1000,-2.4533608
1100,-2.7990966
1200,-2.8571153
1300,-2.3387914
1400,-1.8038497
1500,-2.8772702
1600,-2.857303
1700,-2.8267493
1800,-2.7525535
1900,-2.501931
2000,-2.2742195
2100,-1.8699341
2200,-2.5992517
2300,-2.7024543
2400,-1.7529366
2500,-2.2046185
2600,-3.1511145
2700,-3.1253412
2800,-3.1613874
2900,-3.2520893
3000,-3.1922052
3100,-2.5766969
3200,-1.6427689
3300,-2.979188
3400,-3.1260123
3500,-2.6936142
3600,-1.7491146
3700,-1.8486136
3800,-2.7190146
3900,-3.114579
4000,-2.167002
4100,-1.899964
4200,-2.6791549
4300,-2.7275376
4400,-2.7543964
4500,-1.8845456
4600,-3.2614386
4700,-3.407817
4800,-3.090235
4900,-3.525524
5000,-1.6723808
5100,-2.9551232
5200,-3.1321008
5300,-1.7237588
5400,-3.5835776
5500,-3.1520796
5600,-2.2179205
5700,-3.7079923
5800,-3.2088273
5900,-3.1471686
6000,-2.5735438
6100,-2.750048
6200,-2.5103993
6300,-2.7553103
6400,-1.7979399
6500,-2.2606528
6600,-2.8004367
6700,-2.9725623
6800,-1.8232338
6900,-3.120288
7000,-3.0183876
7100,-3.4010067
7200,-1.8282562
7300,-2.881269
7400,-1.8204193
7500,-2.0411527
7600,-2.0631526
7700,-3.7792602
7800,-3.3405457
7900,-3.529295
8000,-3.3816204
8100,-3.3090143
8200,-3.460069
8300,-2.2108777
8400,-2.007884
8500,-1.641376
8600,-1.7542143
8700,-1.7544808
8800,-3.2540472
8900,-1.6118716
9000,-3.1936207
9100,-3.17197
9200,-2.8073459
9300,-3.2587347
9400,-1.9590776
9500,-3.5151415
9600,-3.1223555
9700,-1.9637244
9800,-2.7202778
9900,-3.1586747
10000,-2.8425956
10100,-2.625481
10200,-1.7350649
10300,-3.040193
10400,-2.8262696
10500,-3.1889377
10600,-2.1949968
10700,-1.6373767
10800,-2.8385377
10900,-2.9615936
11000,-2.88759
11100,-2.8962557
11200,-2.633699
11300,-2.6779935
11400,-1.9143432
11500,-2.8781495
11600,-2.1835618
11700,-2.8495135
11800,-2.835638
11900,-3.153154
12000,-2.768167
12100,-2.9118044
12200,-1.6211895
12300,-2.787799
12400,-2.0815704
12500,-3.1842844
12600,-2.65905
12700,-2.3799675
12800,-2.1879718
12900,-2.6033704
13000,-2.77091
13100,-1.6390169
13200,-2.4746006
13300,-2.0966232
13400,-2.4303248
13500,-2.6531527
13600,-2.4007406
13700,-1.6906651
13800,-2.758693
13900,-2.0547748
14000,-2.6825166
14100,-2.080121
14200,-2.0521116
14300,-2.1912413
14400,-2.0483363
14500,-1.6305391
14600,-2.035381
14700,-2.0660074
14800,-1.6602052
14900,-2.0829728
15000,-2.7032042
15100,-2.3864028
15200,-2.0620358
15300,-1.5942564
15400,-2.1403418
15500,-1.6638402
15600,-2.056461
15700,-2.4698637
15800,-2.052824
15900,-2.0643787
16000,-1.6597986
16100,-2.2494936
16200,-2.687189
16300,-1.9080619
16400,-2.6209779
16500,-2.6665106
16600,-1.9602592
16700,-2.0694737
16800,-2.4733965
16900,-2.3342888
17000,-2.1124756
17100,-2.3946543
17200,-2.4470158
17300,-2.5055118
17400,-2.1223333
17500,-2.1330264
17600,-2.1807148
17700,-2.5521903
17800,-2.0738456
17900,-2.5604677
18000,-2.116651
18100,-1.6156822
18200,-1.9912958
18300,-2.695841
18400,-2.063428
18500,-1.6731075
18600,-2.7102292
18700,-2.6965003
18800,-2.1123474
18900,-2.030259
19000,-2.0515575
19100,-2.417731
19200,-2.1883109
19300,-1.6096324
19400,-2.101786
19500,-2.048319
19600,-2.5225065
19700,-2.0169797
19800,-1.9549137
19900,-2.6633692
20000,-2.5291462
20100,-2.7041476
20200,-2.418041
20300,-1.62068
20400,-2.157229
20500,-2.636952
20600,-1.9276035
20700,-1.9395738
20800,-2.4800637
20900,-2.6673484
21000,-1.6292545
21100,-1.9451028
21200,-2.4930947
21300,-1.9696504
21400,-2.0482569
21500,-2.3826842
21600,-2.0371714
21700,-2.1034374
21800,-2.1468844
21900,-2.1258705
22000,-1.6297064
22100,-2.6474905
22200,-2.735867
22300,-2.145641
22400,-2.6478395
22500,-2.1045117
22600,-2.493093
22700,-1.6171927
22800,-1.9661168
22900,-2.5076869
23000,-2.1383178
23100,-2.7236338
23200,-2.1972985
23300,-2.084795
23400,-2.6793234
23500,-1.9741968
23600,-1.9677752
23700,-2.2224298
23800,-2.504213
23900,-2.0163016
24000,-2.457206
24100,-2.2568874
24200,-2.0109212
24300,-1.6774437
24400,-1.6473607
24500,-1.6582454
24600,-2.1407301
24700,-1.6000352
24800,-2.168836
24900,-1.6190121
25000,-2.7115905
25100,-2.2629
25200,-2.1747043
25300,-2.1625218
25400,-2.6206353
25500,-2.2110777
25600,-2.4803953
25700,-2.5134902
25800,-2.6825738
25900,-2.623311
26000,-2.1580732
26100,-2.0035238
26200,-1.9477876
26300,-2.2642782
26400,-2.7419622
26500,-2.0832133
26600,-1.566092
26700,-1.6008035
26800,-1.9490641
26900,-2.7396963
27000,-2.0303109
27100,-2.805436
27200,-1.615594
27300,-1.6407107
27400,-1.6000158
27500,-2.3596323
27600,-1.9428636
27700,-2.1860816
27800,-1.5927544
27900,-2.2149057
28000,-1.6154219
28100,-1.9661545
28200,-2.7996597
28300,-1.6168845
28400,-2.1129243
28500,-2.3038104
28600,-2.1862605
28700,-2.1731684
28800,-2.5552366
28900,-2.5716913
29000,-2.1581995
29100,-1.6190127
29200,-3.0000298
29300,-2.8000534
29400,-1.9484994
29500,-2.6940243
29600,-2.128722
29700,-2.8032637
29800,-1.9507121
29900,-2.627069
30000,-2.843485
30100,-2.856565
30200,-2.5901856
30300,-2.6399217
30400,-2.1673121
30500,-1.6115766
30600,-2.6122558
30700,-1.6083676
30800,-2.6447823
30900,-2.567563
31000,-2.2142441
31100,-1.577495
31200,-1.6331604
31300,-2.4997985
31400,-2.186889
31500,-2.1455934
31600,-2.5676425
31700,-2.7064993
31800,-2.1693795
31900,-1.6129465
32000,-1.9703913
32100,-2.1367056
32200,-1.6071285
32300,-1.6243315
32400,-2.247207
32500,-2.6723626
32600,-2.1074407
32700,-2.568775
32800,-2.203079
32900,-1.5976273
33000,-2.156355
33100,-2.828154
33200,-2.6742654
33300,-1.6265675
33400,-1.9507793
33500,-1.937797
33600,-2.2080894
33700,-1.627216
33800,-2.1447089
33900,-2.8407035
34000,-2.1056395
34100,-1.6348094
34200,-2.758655
34300,-1.9330162
34400,-2.6786835
34500,-2.7688553
34600,-2.1582193
34700,-2.7980082
34800,-1.9754623
34900,-2.8712907
35000,-2.8766544
35100,-2.1684208
35200,-2.6832983
35300,-2.5271738
35400,-2.1034088
35500,-2.9562244
35600,-1.9609717
35700,-1.6102873
35800,-2.0932329
35900,-1.6337938
36000,-2.086303
36100,-2.5929933
36200,-2.10525
36300,-2.6840932
36400,-2.8517258
36500,-2.7701864
36600,-2.549361
36700,-2.7018595
36800,-2.1620235
36900,-2.1576884
37000,-2.204699
37100,-2.0966334
37200,-2.2313507
37300,-2.1560898
37400,-2.828364
37500,-2.1132102
37600,-1.583654
37700,-2.6794317
37800,-2.6134741
37900,-2.0585768
38000,-2.2543137
38100,-2.0791278
38200,-1.9382186
38300,-2.102835
38400,-2.0756693
38500,-2.139527
38600,-2.1523185
38700,-2.5656257
38800,-2.5887024
38900,-2.7529588
39000,-2.117389
39100,-2.1210976
39200,-2.5526006
39300,-2.0603085
39400,-2.1589413
39500,-1.9203454
39600,-2.1680894
39700,-2.5716708
39800,-2.207872
39900,-2.077904
40000,-2.3661716
40100,-1.9472765
40200,-2.1151087
40300,-2.432387
40400,-2.6876256
40500,-2.4887195
40600,-1.635438
40700,-2.0596724
40800,-2.0998864
40900,-1.6086138
41000,-2.1427958
41100,-2.0704327
41200,-2.2505088
41300,-2.083122
41400,-2.63509
41500,-2.1541946
41600,-2.2939477
41700,-1.628157
41800,-2.4385374
41900,-1.6270616
42000,-1.5594481
42100,-2.3679366
42200,-3.5888507
42300,-2.1503696
42400,-1.5983025
42500,-2.6645584
42600,-2.545556
42700,-2.5676954
42800,-3.1785312
42900,-1.610071
43000,-2.24055
43100,-1.923941
43200,-2.4669912
43300,-2.4628613
43400,-2.3846214
43500,-2.246639
43600,-2.2345269
43700,-2.7355304
43800,-3.637961
43900,-2.0181344
44000,-2.044441
44100,-2.3692658
44200,-2.5715733
44300,-1.9158016
44400,-3.048939
44500,-1.9663833
44600,-3.7168841
44700,-2.146898
44800,-1.6383373
44900,-3.7602432
45000,-2.541419
45100,-1.9830432
45200,-2.1423998
45300,-2.4602141
45400,-2.1445124
45500,-2.3126698
45600,-1.9976387
45700,-2.2905486
45800,-2.3794622
45900,-1.9454818
46000,-2.1236444
46100,-2.373134
46200,-1.599049
46300,-3.9763393
46400,-2.1595423
46500,-2.4770782
46600,-2.444677
46700,-2.483004
46800,-1.6003151
46900,-3.2091541
47000,-1.9459589
47100,-1.5900013
47200,-2.1688607
47300,-2.8299186
47400,-2.2608118
47500,-2.5179448
47600,-1.9765766
47700,-2.339718
47800,-1.5720726
47900,-2.1649308
48000,-1.6184912
48100,-4.2135434
48200,-2.114904
48300,-2.727464
48400,-2.3905842
48500,-2.4172661
48600,-2.464384
48700,-3.5126524
48800,-2.3675082
48900,-3.99414
49000,-3.464226
49100,-3.096299
49200,-3.3578832
49300,-2.2878084
49400,-2.4213104
49500,-2.4052384
49600,-3.6473348
49700,-2.5969546
49800,-2.4420938
49900,-1.5887996
50000,-4.2660847
50100,-2.127061
50200,-1.9296327
50300,-2.4732888
50400,-4.3303013
50500,-1.9940186
50600,-4.811764
50700,-1.61791
50800,-2.6208935
50900,-2.4325054
51000,-2.133654
51100,-2.5946643
51200,-2.4631093
51300,-1.9285367
51400,-2.7962263
51500,-1.9406838
51600,-2.072926
51700,-4.1612067
51800,-1.9574645
51900,-1.9598267
52000,-4.41114
52100,-1.6073089
52200,-2.461771
52300,-3.7743793
52400,-2.072622
52500,-1.6037751
52600,-3.5970066
52700,-1.6107588
52800,-1.5824646
52900,-2.5335042
53000,-1.6100335
53100,-2.0392122
53200,-1.9992975
53300,-2.5025141
53400,-2.1529179
53500,-2.1662607
53600,-2.0415668
53700,-2.6431103
53800,-2.2335851
53900,-3.282955
54000,-3.4859138
54100,-3.3842123
54200,-1.973854
54300,-2.2098641
54400,-1.5763481
54500,-2.218123
54600,-1.9713063
54700,-2.0132701
54800,-2.1683607
54900,-2.264795
55000,-1.9438268
55100,-1.9731728
55200,-1.5830023
55300,-1.5947978
55400,-2.339203
55500,-1.6264333
55600,-2.1696017
55700,-2.1179824
55800,-2.2887576
55900,-2.2883923
56000,-3.278957
56100,-1.610017
56200,-3.5353935
56300,-2.2521393
56400,-2.2000346
56500,-1.9640274
56600,-1.6076419
56700,-2.4846504
56800,-2.5218637
56900,-2.3625338
57000,-2.214879
57100,-2.1951017
57200,-3.663076
57300,-2.478118
57400,-2.4541965
57500,-2.043786
57600,-2.1777964
57700,-1.9830949
57800,-1.6108536
57900,-1.5994762
58000,-3.221267
58100,-3.7327833
58200,-1.6422522
58300,-2.5035913
58400,-2.15141
58500,-2.2583103
58600,-2.630221
58700,-2.184198
58800,-1.6544724
58900,-1.5922023
59000,-2.2229621
59100,-2.8178241
59200,-2.1844943
59300,-1.6082826
59400,-2.1858
59500,-2.7765374
59600,-2.4924464
59700,-2.0486398
59800,-2.0159233
59900,-3.1317825
60000,-1.557013
60100,-1.6277525
60200,-2.0241625
60300,-2.9710648
60400,-2.0687904
60500,-2.8474052
60600,-2.4806716
60700,-2.453434
60800,-1.6203389
60900,-3.2560356
61000,-2.39648
61100,-2.9646418
61200,-1.6197419
61300,-2.3871942
61400,-3.0967665
61500,-2.9081607
61600,-2.6212845
61700,-1.618243
61800,-1.9206125
61900,-3.0953207
62000,-1.6334121
62100,-1.6723589
62200,-3.2261398
62300,-1.9268764
62400,-3.0253253
62500,-3.1455724
62600,-2.9360752
62700,-2.1981797
62800,-1.6464338
62900,-2.224171
63000,-2.0150564
63100,-2.2062554
63200,-2.778054
63300,-2.0448806
63400,-2.1859252
63500,-3.2051046
63600,-2.032904
63700,-1.6485171
63800,-3.2967923
63900,-1.6793463
64000,-2.3058121
64100,-2.5970368
64200,-2.7393878
64300,-2.565819
64400,-2.2382028
64500,-1.6728988
64600,-1.7574794
64700,-2.6146905
64800,-2.2271369
64900,-2.9861784
65000,-3.4005494
65100,-2.49166
65200,-3.1638033
65300,-2.1847095
65400,-2.1729527
65500,-2.215489
65600,-1.6653415
65700,-1.9514469
65800,-2.0498583
65900,-1.6798633
66000,-2.0329845
66100,-2.7247283
66200,-2.4136956
66300,-2.0745609
66400,-2.335897
66500,-2.7387106
66600,-1.734914
66700,-2.0239925
66800,-3.3529227
66900,-1.6925582
67000,-1.6535093
67100,-2.530678
67200,-3.5084405
67300,-3.2275994
67400,-1.6890033
67500,-2.3088174
67600,-2.3154707
67700,-2.3664653
67800,-2.0154815
67900,-2.3043892
68000,-2.1797614
68100,-2.4631999
68200,-2.183125
68300,-1.6371819
68400,-2.2194233
68500,-2.222394
68600,-1.6120523
68700,-2.2214086
68800,-2.1923766
68900,-3.1563587
69000,-1.6569904
69100,-2.4656208
69200,-2.4935253
69300,-2.169694
69400,-2.0001054
69500,-3.5170877
69600,-2.0689073
69700,-1.9455403
69800,-2.0438833
69900,-2.3007488
70000,-3.193557
70100,-1.9969318
70200,-2.2247376
70300,-3.3369567
70400,-2.708806
70500,-3.5395322
70600,-2.5507505
70700,-2.1732407
70800,-2.031455
70900,-2.610283
71000,-1.6847767
71100,-2.177822
71200,-1.6234949
71300,-2.2507405
71400,-2.1257935
71500,-2.0109458
71600,-3.3709898
71700,-2.0386188
71800,-3.2475846
71900,-2.178695
72000,-1.6449815
72100,-2.250781
72200,-2.1829631
72300,-2.4983234
72400,-2.0713642
72500,-2.1105468
72600,-2.5021636
72700,-2.193454
72800,-2.4226246
72900,-1.6253319
73000,-2.8469436
73100,-2.1622195
73200,-2.1834762
73300,-1.642397
73400,-1.9988246
73500,-1.6003366
73600,-1.6222415
73700,-1.666407
73800,-2.188882
73900,-2.1825478
74000,-1.6333785
74100,-3.2622876
74200,-1.925731
74300,-2.0464973
74400,-2.2973018
74500,-1.7646408
74600,-1.6748651
74700,-1.6147348
74800,-2.4342887
74900,-2.1837811
75000,-2.7559118
75100,-1.9872231
75200,-2.186344
75300,-1.6419116
75400,-2.1344497
75500,-2.1809556
75600,-2.4157975
75700,-2.111217
75800,-2.1146855
75900,-3.472884
76000,-2.2828937
76100,-2.0171456
76200,-3.1898105
76300,-2.552735
76400,-1.6224852
76500,-2.4917529
76600,-2.209878
76700,-3.2592802
76800,-2.8234167
76900,-2.6790328
77000,-2.0385892
77100,-1.8787895
77200,-2.294433
77300,-2.1587858
77400,-1.6668265
77500,-1.6511267
77600,-3.3663073
77700,-2.573376
77800,-1.5997318
77900,-2.7683277
78000,-2.0391164
78100,-2.450068
78200,-2.3524497
78300,-2.511335
78400,-2.8875299
78500,-2.385182
78600,-1.6181854
78700,-1.6006397
78800,-2.4856846
78900,-2.2312603
79000,-1.9764754
79100,-2.6140857
79200,-2.4489717
79300,-2.8144693
79400,-3.4204962
79500,-2.43213
79600,-2.2333455
79700,-2.896391
79800,-1.674735
79900,-2.4874783
80000,-2.623919
80100,-3.6212149
80200,-2.0675879
80300,-1.9446355
80400,-3.874627
80500,-3.7913914
80600,-2.7274587
80700,-1.9397025
80800,-2.0892558
80900,-2.4029276
81000,-2.75656
81100,-2.0466065
81200,-3.5858507
81300,-2.479961
81400,-2.2391596
81500,-1.6466893
81600,-2.3639152
81700,-3.4846315
81800,-1.9595205
81900,-2.548915
82000,-1.9595451
82100,-1.6285465
82200,-1.9111218
82300,-3.6612365
82400,-2.495609
82500,-3.0520804
82600,-2.206638
82700,-3.2877908
82800,-2.4523141
82900,-1.6219499
83000,-1.88269
83100,-2.5192485
83200,-1.933778
83300,-2.0684373
83400,-2.3126342
83500,-1.6558139
83600,-2.821057
83700,-1.6304721
83800,-1.6625814
83900,-2.4891486
84000,-1.6450398
84100,-2.5674517
84200,-3.3889616
84300,-1.9050881
84400,-2.1276603
84500,-2.145387
84600,-2.030669
84700,-2.673632
84800,-2.4691515
84900,-1.5352769
85000,-2.0814457
85100,-1.9294361
85200,-2.6393652
85300,-1.6411113
85400,-2.3976483
85500,-2.4550562
85600,-2.1144254
85700,-2.4524145
85800,-2.746535
85900,-2.111313
86000,-1.6247249
86100,-1.9467653
86200,-2.2704394
86300,-2.0718627
86400,-7.435554
86500,-3.4293566
86600,-2.933179
86700,-2.0328264
86800,-1.9675869
86900,-2.240903
87000,-2.5780444
87100,-1.9187503
87200,-1.8635967
87300,-6.6174855
87400,-6.383528
87500,-1.6238195
87600,-2.1898932
87700,-1.6351794
87800,-1.6500254
87900,-1.8893497
88000,-2.2388341
88100,-4.541123
88200,-1.6267695
88300,-3.5934863
88400,-2.3285017
88500,-2.1566792
88600,-2.1509445
88700,-1.6377753
88800,-2.059567
88900,-1.8611076
89000,-2.467357
89100,-1.8921336
89200,-2.4748933
89300,-2.0199034
89400,-1.9404701
89500,-1.5265012
89600,-1.58046
89700,-1.6567868
89800,-2.6117976
89900,-1.8929923
90000,-2.3554864
90100,-2.0215821
90200,-1.6091243
90300,-2.1143174
90400,-2.277985
90500,-1.6164234
90600,-2.138627
90700,-2.0295517
90800,-3.052683
90900,-2.5586457
91000,-2.02959
91100,-2.383937
91200,-2.5080595
91300,-2.0143247
91400,-3.2092545
91500,-1.9284058
91600,-2.854873
91700,-1.966537
91800,-1.6206774
91900,-2.3165967
92000,-2.4183466
92100,-1.6583147
92200,-2.519956
92300,-2.4060433
92400,-2.2050583
92500,-2.44608
92600,-2.7802024
92700,-3.3823087
92800,-1.6346521
92900,-2.3667686
93000,-2.2942386
93100,-2.5375009
93200,-1.5999291
93300,-1.9612918
93400,-1.6194313
93500,-1.8866391
93600,-2.1124706
93700,-3.9197137
93800,-3.2857444
93900,-1.66059
94000,-1.9535261
94100,-2.1785018
94200,-1.6353312
94300,-2.4552069
94400,-1.9929243
94500,-2.1341002
94600,-2.8096747
94700,-2.4691157
94800,-2.4793904
94900,-2.1769652
95000,-2.0385594
95100,-1.9136931
95200,-2.089953
95300,-1.8878417
95400,-2.3625872
95500,-1.607461
95600,-1.9373747
95700,-1.9282504
95800,-2.1170328
95900,-2.3159251
96000,-2.0536668
96100,-2.6340616
96200,-3.578614
96300,-4.8286858
96400,-2.0483234
96500,-1.6023637
96600,-2.254484
96700,-3.0590081
96800,-2.432806
96900,-1.637187
97000,-1.5841941
97100,-2.5732152
97200,-3.469709
97300,-2.5976353
97400,-4.817914
97500,-3.416114
97600,-2.0756767
97700,-2.1296172
97800,-1.8762659
97900,-5.4131303
98000,-1.8430008
98100,-3.4625635
98200,-1.904866
98300,-1.5820793
98400,-1.6189052
98500,-1.5892979
98600,-1.6553189
98700,-2.02715
98800,-2.3301876
98900,-3.1285837
99000,-1.5145396
99100,-2.1276636
99200,-1.8855058
99300,-1.5464544
99400,-2.392117
99500,-1.9300255
99600,-2.4313447
99700,-2.1221566
99800,-2.1376565
99900,-3.1919498
100000,-3.0659769
