timestep,average_reward
100,-4.5865073
200,-9.253149
300,-5.3244414
400,-2.6587024
500,-2.3270483
600,-2.490514
700,-2.0497637
800,-3.117992
900,-2.6175482
1000,-2.4431477
1100,-2.023456
1200,-2.5251527
1300,-2.1344538
1400,-2.2701724
1500,-2.007738
1600,-2.4561348
1700,-2.6818213
1800,-2.705
1900,-2.132859
2000,-1.9136858
2100,-2.0206354
2200,-1.9708842
2300,-2.593737
2400,-2.094324
2500,-2.4094453
2600,-2.4086828
2700,-2.3443117
2800,-2.5214634
2900,-2.0082521
3000,-2.2994967
3100,-1.8593009
3200,-2.3722804
3300,-2.2388215
3400,-2.355975
3500,-2.1992035
3600,-2.373111
3700,-2.1643565
3800,-1.9860555
3900,-2.0405598
4000,-2.0734878
4100,-2.2020996
4200,-2.0517852
4300,-2.1300106
4400,-2.1907332
4500,-1.8853241
4600,-2.4075067
4700,-2.3370957
4800,-1.7395962
4900,-2.4201052
5000,-2.2219694
5100,-2.3115342
5200,-1.9231796
5300,-1.970795
5400,-2.1276624
5500,-1.9318054
5600,-1.9461818
5700,-1.9894257
5800,-1.9253525
5900,-1.9573518
6000,-1.970315
6100,-1.8693732
6200,-1.7837776
6300,-2.0978458
6400,-2.229566
6500,-2.2609398
6600,-2.0668547
6700,-2.0182536
6800,-1.8473182
6900,-2.0589695
7000,-1.8254666
7100,-2.183837
7200,-2.033103
7300,-1.9651153
7400,-2.246886
7500,-2.214907
7600,-2.2371135
7700,-1.946553
7800,-1.8591329
7900,-2.168435
8000,-1.8800067
8100,-2.037938
8200,-2.0399675
8300,-2.2215006
8400,-1.8575232
8500,-2.071733
8600,-2.0162966
8700,-1.9403332
8800,-1.7298632
8900,-2.0053577
9000,-2.1482008
9100,-1.9895568
9200,-2.2209907
9300,-2.2182467
9400,-1.8991411
9500,-2.0202258
9600,-2.1100924
9700,-1.999641
9800,-2.1787913
9900,-1.7828927
10000,-1.6720511
10100,-1.8898599
10200,-2.1710584
10300,-1.8138592
10400,-2.0540287
10500,-2.037955
10600,-2.0303216
10700,-2.0076156
10800,-2.293568
10900,-2.0634012
11000,-1.9110694
11100,-1.9694812
11200,-2.0201855
11300,-2.2022743
11400,-1.8917717
11500,-1.9205681
11600,-1.7813783
11700,-2.2606323
11800,-2.0815847
11900,-2.213166
12000,-1.851237
12100,-1.8718917
12200,-1.9681205
12300,-2.0237415
12400,-2.2999592
12500,-2.0220857
12600,-1.8812909
12700,-2.207404
12800,-1.791368
12900,-1.9688823
13000,-2.0043278
13100,-2.1959424
13200,-1.6538897
13300,-2.2634995
13400,-2.2278948
13500,-1.9328353
13600,-2.0375097
13700,-2.1159241
13800,-1.88214
13900,-1.9255357
14000,-2.1777434
14100,-2.0638497
14200,-2.191208
14300,-2.0129604
14400,-2.0440717
14500,-2.0430617
14600,-1.8709998
14700,-2.217284
14800,-1.9983865
14900,-2.0393703
15000,-1.9904339
15100,-2.1997378
15200,-2.0620077
15300,-1.9760299
15400,-2.2289226
15500,-2.2224572
15600,-2.2973158
15700,-2.2465882
15800,-2.2130902
15900,-2.0400987
16000,-1.6671185
16100,-1.9141432
16200,-2.0862658
16300,-2.0897846
16400,-2.0374906
16500,-1.8651565
16600,-2.0610704
16700,-2.0180564
16800,-2.0049295
16900,-2.2780535
17000,-2.2323592
17100,-2.2478156
17200,-1.8871722
17300,-2.0036983
17400,-2.2249238
17500,-2.1518562
17600,-2.0530312
17700,-2.021862
17800,-1.6924437
17900,-2.3287096
18000,-2.0822375
18100,-2.0218778
18200,-2.0273428
18300,-1.9061265
18400,-2.263028
18500,-1.712984
18600,-2.2646887
18700,-1.8604566
18800,-2.2947822
18900,-2.045357
19000,-1.8939968
19100,-2.0243845
19200,-2.17923
