timestep,average_reward
100,-5.946947
200,-4.535857
300,-3.677524
400,-2.947177
500,-2.4511788
600,-2.4595797
700,-2.3552117
800,-2.456808
900,-1.9258672
1000,-2.0073204
1100,-2.582419
1200,-2.5124264
1300,-2.4271264
1400,-2.1076374
1500,-2.2270799
1600,-2.3624048
1700,-2.2376266
1800,-2.5884058
1900,-2.3226638
2000,-2.1809542
2100,-2.0272033
2200,-2.667084
2300,-2.57987
2400,-2.209328
2500,-2.3914826
2600,-2.2704651
2700,-2.2169895
2800,-2.2066946
2900,-2.1291306
3000,-2.204948
3100,-2.0714486
3200,-2.064646
3300,-2.0911734
3400,-2.1794481
3500,-2.0831218
3600,-2.2856112
3700,-2.2393296
3800,-2.211734
3900,-2.2265372
4000,-2.2027285
4100,-2.0180995
4200,-2.1736689
4300,-2.410084
4400,-1.9349457
4500,-2.0759528
4600,-1.9978213
4700,-2.0780554
4800,-2.4110034
4900,-2.3161952
5000,-2.0818899
5100,-1.9099376
5200,-1.9694725
5300,-2.1371765
5400,-2.1996047
5500,-1.9816631
5600,-2.1716983
5700,-2.133882
5800,-2.0449212
5900,-1.825562
6000,-2.0695775
6100,-2.0817597
6200,-2.026774
6300,-2.0200548
6400,-2.3246462
6500,-1.9767504
6600,-2.120616
6700,-2.102546
6800,-2.046617
6900,-1.9999363
7000,-1.892709
7100,-2.071691
7200,-2.0448415
7300,-2.0054073
7400,-2.400327
7500,-2.0817065
7600,-2.1573398
7700,-1.9326453
7800,-2.1382694
7900,-2.3301752
8000,-2.1788125
8100,-2.0420709
8200,-2.0610971
8300,-2.3404691
8400,-2.233496
8500,-1.8263633
8600,-2.2922654
8700,-2.0934055
8800,-2.0050771
8900,-1.7987612
9000,-1.9924349
9100,-1.8377811
9200,-1.7265588
9300,-2.0016837
9400,-1.9405189
9500,-2.1305687
9600,-1.9532943
9700,-2.2386084
9800,-2.187722
9900,-1.994886
10000,-2.344057
10100,-2.0320678
10200,-1.7847635
10300,-2.2003717
10400,-2.2864907
10500,-2.1897798
10600,-2.0336437
10700,-2.113364
10800,-2.1456296
10900,-2.0175934
11000,-2.0126884
11100,-2.0807416
11200,-1.960469
11300,-1.7750915
11400,-2.0521297
11500,-1.8035272
11600,-1.9507413
11700,-2.1428246
11800,-1.9713343
11900,-1.928142
12000,-1.9281186
12100,-2.1684303
12200,-2.3211188
12300,-1.9005889
12400,-1.8382202
12500,-2.289199
12600,-2.2239668
12700,-2.345975
12800,-2.0739431
12900,-2.1157348
13000,-1.8709977
13100,-1.7570099
13200,-2.0340502
13300,-2.1423101
13400,-1.8832917
13500,-1.8213779
13600,-1.9074125
13700,-1.9061122
13800,-1.8463788
13900,-1.8047278
14000,-1.8944741
14100,-2.155785
14200,-2.0330753
14300,-1.9246495
14400,-1.7856784
14500,-1.9907969
14600,-1.8033459
14700,-1.811002
14800,-2.0200453
14900,-2.1509304
15000,-1.9761659
15100,-2.3326347
15200,-2.0657053
15300,-1.8229686
15400,-1.9144249
15500,-2.1546862
15600,-1.7976805
15700,-1.7955818
15800,-2.2365687
15900,-1.9604678
16000,-2.2212121
16100,-1.7591522
16200,-2.0548453
16300,-1.9401387
16400,-1.8624022
16500,-1.9378833
16600,-1.868725
16700,-1.9341654
16800,-1.9570559
16900,-2.1450958
17000,-2.017291
17100,-2.0874298
17200,-1.8177044
17300,-1.8857777
17400,-1.8739781
17500,-2.0452566
17600,-2.0327134
17700,-2.1745696
17800,-2.1418703
17900,-2.0679448
18000,-1.9841794
18100,-1.924634
18200,-1.8483509
18300,-1.8189385
18400,-1.8524808
18500,-2.1801891
18600,-2.159805
18700,-2.2997727
18800,-2.2752972
18900,-2.067236
19000,-1.9403147
19100,-1.8133627
19200,-1.9090629
19300,-1.8290684
19400,-2.0225124
19500,-2.1985354
19600,-1.9997405
19700,-1.8413169
19800,-2.0201797
19900,-2.0011117
20000,-1.7850496
20100,-1.9853898
20200,-1.8199592
20300,-1.8622534
20400,-1.8858583
20500,-1.8582131
20600,-1.7558011
20700,-2.047868
20800,-1.8009404
20900,-1.9509687
21000,-1.9183551
21100,-1.7710872
21200,-1.8895197
21300,-1.8551105
21400,-2.0135496
21500,-2.0985065
21600,-2.226154
21700,-1.9860731
21800,-2.0234275
21900,-2.1484823
22000,-1.8275832
22100,-2.1498017
22200,-2.1536338
22300,-2.1751838
22400,-1.9675447
22500,-1.9205858
22600,-1.7820609
22700,-1.9263129
22800,-1.9458187
22900,-1.7620668
23000,-2.169542
23100,-1.8966848
23200,-1.977574
23300,-1.8922698
23400,-1.9230138
23500,-1.87318
23600,-2.1480563
23700,-1.9559846
23800,-1.9618204
23900,-1.9771158
24000,-1.8910022
24100,-1.8793846
24200,-1.798171
24300,-1.9718796
24400,-2.196737
24500,-1.9996873
24600,-2.2488482
24700,-2.2723556
24800,-2.3387916
24900,-2.079277
25000,-1.9554523
25100,-1.8746054
25200,-2.0967882
25300,-2.2516406
25400,-2.324665
25500,-1.7935476
25600,-2.1171227
25700,-2.0836692
25800,-2.025361
25900,-2.017346
26000,-1.9293671
26100,-1.7349778
26200,-1.8239808
26300,-2.2028692
26400,-1.8391211
26500,-2.184286
26600,-2.2093444
26700,-2.3227744
26800,-1.9048597
26900,-2.2144344
27000,-2.3731232
27100,-2.0281584
27200,-1.8065839
27300,-1.850819
27400,-1.8678274
27500,-2.0391276
27600,-2.2502387
27700,-1.8302118
27800,-1.9350756
27900,-2.2032785
28000,-2.042532
28100,-1.9966649
28200,-1.7730359
28300,-2.1179132
28400,-1.7291507
28500,-2.1338701
28600,-1.9026016
28700,-2.0067623
28800,-1.9286085
28900,-1.9118521
29000,-2.2068253
29100,-2.2584598
29200,-1.8962772
29300,-1.8728496
29400,-2.1294615
29500,-1.885712
29600,-1.9597795
29700,-1.981668
29800,-2.2240176
29900,-2.276808
30000,-2.03035
30100,-2.343445
30200,-2.24908
30300,-2.3298993
30400,-1.8943429
30500,-1.9165773
30600,-1.8813815
30700,-1.894388
30800,-1.9557856
30900,-2.0273087
31000,-2.1719704
31100,-2.1516533
31200,-2.1377435
31300,-2.0512462
31400,-2.0080209
31500,-2.2232995
31600,-1.9703578
31700,-2.033225
31800,-2.3700476
31900,-1.9661833
32000,-2.0695891
32100,-2.011389
32200,-2.17918
32300,-2.0812297
32400,-2.2081978
32500,-2.0778725
32600,-1.7926997
32700,-2.2899997
32800,-2.0257757
32900,-2.2671506
33000,-2.1902862
33100,-2.155021
33200,-1.8769805
33300,-2.250109
33400,-1.9009142
33500,-1.9781849
33600,-1.9330424
33700,-2.1073203
33800,-2.0091827
33900,-2.1967983
34000,-2.2578638
34100,-1.9876616
34200,-1.8158609
34300,-1.888171
34400,-1.8323174
34500,-1.7661765
34600,-2.3662546
34700,-1.7177086
34800,-1.9293004
34900,-1.8466145
35000,-1.9728785
35100,-2.2102778
35200,-2.2262259
35300,-2.3056571
35400,-2.0830653
35500,-2.0800107
35600,-2.350122
35700,-2.0993438
35800,-1.8783829
35900,-1.8533984
36000,-2.0350552
36100,-1.9424598
36200,-2.2053177
36300,-2.3224468
36400,-1.8774834
36500,-1.8421359
36600,-1.8608732
36700,-2.1536875
36800,-2.048066
36900,-2.0434504
37000,-1.8909433
37100,-1.9885899
37200,-2.3541756
37300,-2.0720203
37400,-1.9901019
37500,-1.9982293
37600,-2.1243958
37700,-2.2060375
37800,-2.2474506
37900,-1.7223959
38000,-2.0194602
38100,-1.9011528
38200,-2.1043706
38300,-2.2662475
38400,-1.9241713
38500,-1.8715297
38600,-2.099476
38700,-2.3401055
38800,-1.7343386
38900,-2.1487832
39000,-2.1014397
39100,-2.4043887
39200,-2.2269468
39300,-2.274664
39400,-1.8642687
39500,-2.2029908
39600,-1.991152
39700,-1.9272517
39800,-2.2617805
39900,-1.8704288
40000,-2.081378
40100,-2.0817988
40200,-2.1893914
40300,-2.123417
40400,-1.8631433
40500,-2.1400251
40600,-1.8623308
40700,-2.1823585
40800,-2.0739558
40900,-1.8878425
41000,-1.8602815
41100,-2.169277
41200,-2.1159878
41300,-2.3452554
41400,-2.315037
41500,-2.1068664
41600,-2.0195105
41700,-2.1271002
41800,-1.7058083
41900,-2.0650513
42000,-1.871473
42100,-2.0209353
42200,-1.8751422
42300,-2.0596616
42400,-1.9050235
42500,-2.0198476
42600,-1.997741
42700,-1.9285321
42800,-2.3519015
42900,-2.0148098
43000,-2.0837219
43100,-1.9278412
43200,-1.9379119
43300,-2.1087132
43400,-2.1266038
43500,-1.7313994
43600,-2.0938997
43700,-2.0481093
43800,-2.437637
43900,-1.7020134
44000,-2.1182415
44100,-2.179623
44200,-2.2472506
