timestep,average_reward
100,-8.425325
200,-11.188538
300,-5.2682023
400,-5.7328296
500,-4.3743505
600,-3.3363888
700,-3.0142908
800,-2.6775124
900,-2.565825
1000,-3.0482523
1100,-2.84147
1200,-2.8639097
1300,-2.7886574
1400,-2.8427584
1500,-1.9693424
1600,-2.6183286
1700,-2.1294312
1800,-2.9433749
1900,-2.5503492
2000,-2.1181176
2100,-2.147462
2200,-3.4719121
2300,-2.8829153
2400,-1.9209327
2500,-2.0375104
2600,-3.5832527
2700,-3.6536198
2800,-3.0210998
2900,-3.1411333
3000,-3.1650324
3100,-2.592688
3200,-2.9914837
3300,-2.8570118
3400,-2.0630736
3500,-3.21325
3600,-3.1031942
3700,-2.0940351
3800,-2.285346
3900,-1.8089894
4000,-3.0230646
4100,-3.255513
4200,-3.7854724
4300,-2.0959623
4400,-3.8148336
4500,-3.125299
4600,-3.5805976
4700,-3.4980652
4800,-2.7950528
4900,-2.9710224
5000,-2.0402038
5100,-2.136853
5200,-3.5739226
5300,-1.8900365
5400,-2.0427039
5500,-2.1097517
5600,-3.9803696
5700,-2.296493
5800,-3.9604886
5900,-3.9315326
6000,-3.517942
6100,-3.40772
6200,-4.1321235
6300,-3.7859924
6400,-3.467013
6500,-3.448753
6600,-2.1453989
6700,-4.462142
6800,-3.3307061
6900,-2.2736692
7000,-2.1643581
7100,-3.783016
7200,-2.174072
7300,-3.403223
7400,-1.8474333
7500,-3.4299145
7600,-2.1090066
7700,-3.467702
7800,-1.7782316
7900,-4.049754
8000,-4.076156
8100,-4.13718
8200,-4.4863944
8300,-1.9504095
8400,-2.1723456
8500,-2.2936046
8600,-4.233734
8700,-3.7770984
8800,-4.598879
8900,-4.2116585
9000,-3.8167672
9100,-2.1658118
9200,-2.0196216
9300,-2.1632116
9400,-2.0942807
9500,-1.8533472
9600,-4.2179017
9700,-4.2771273
9800,-4.7836537
9900,-4.606311
10000,-4.1208982
10100,-2.2657354
10200,-4.1984105
10300,-4.203373
10400,-3.9029408
10500,-1.8218243
10600,-2.0142915
10700,-4.0333824
10800,-4.633116
10900,-2.207428
11000,-4.405431
11100,-2.1123462
11200,-4.41118
11300,-2.3169525
11400,-5.3783135
11500,-3.993664
11600,-2.3206565
11700,-5.354305
11800,-2.226198
11900,-4.7240505
12000,-5.2749743
12100,-4.821716
12200,-3.7773266
12300,-4.521509
12400,-2.2819607
12500,-2.2808912
12600,-2.3018045
12700,-5.0392923
12800,-1.9905897
12900,-5.441605
13000,-5.672867
13100,-5.2067657
13200,-4.271243
13300,-2.2854807
13400,-2.1933706
13500,-2.2041695
13600,-2.0577056
13700,-2.216307
13800,-4.2099433
13900,-5.4515796
14000,-2.274389
14100,-4.6291656
14200,-5.34749
14300,-5.566518
14400,-5.8537025
14500,-4.470243
14600,-4.9931955
14700,-4.9022846
14800,-5.355033
14900,-4.6884627
15000,-5.368184
15100,-4.8506274
15200,-4.253639
15300,-5.1518135
15400,-5.2168355
15500,-4.273802
15600,-5.01555
15700,-2.1750495
15800,-4.07042
15900,-4.7867575
16000,-2.1914065
16100,-1.8998001
16200,-6.005524
16300,-5.226149
16400,-5.5421557
16500,-4.92017
16600,-2.0739565
16700,-4.640863
16800,-2.2647262
16900,-5.6168656
17000,-4.5136065
17100,-5.3242283
17200,-2.305201
17300,-2.13479
17400,-5.120237
17500,-4.5177073
17600,-4.6658177
17700,-5.0486164
17800,-2.40637
17900,-1.9999595
18000,-5.508381
18100,-4.6544614
18200,-5.8107753
18300,-2.4781013
18400,-6.0635657
18500,-5.5086365
18600,-5.37818
18700,-5.115671
18800,-4.531294
18900,-4.6838875
19000,-2.2696743
19100,-5.7534466
19200,-2.475367
19300,-2.1577177
19400,-2.2604475
19500,-2.128148
19600,-5.7814884
19700,-5.5418205
19800,-2.075975
19900,-5.474759
20000,-4.8437634
20100,-2.2095335
20200,-4.709458
20300,-2.1875358
20400,-5.528136
20500,-6.1644344
20600,-5.4036536
20700,-5.2091885
20800,-2.419109
20900,-5.47836
21000,-4.529627
21100,-4.329596
21200,-4.612267
21300,-4.3634105
21400,-4.1125183
21500,-5.1706195
21600,-2.3562684
21700,-5.3523297
21800,-4.566593
21900,-2.5116804
22000,-2.2130961
22100,-2.4761581
22200,-4.770587
22300,-2.1001902
22400,-5.279262
22500,-2.4294856
22600,-4.8700747
22700,-6.2665234
22800,-5.2944226
22900,-4.1839523
23000,-2.5328457
23100,-2.6733453
23200,-5.782457
23300,-2.5401766
23400,-2.415204
23500,-4.6159477
23600,-2.3648195
23700,-5.9099317
23800,-6.4121923
23900,-2.4638464
24000,-2.555776
24100,-6.4375825
24200,-2.1354904
24300,-5.5771832
24400,-5.4565296
24500,-2.388634
24600,-4.8523693
24700,-6.0200257
24800,-6.8381085
24900,-5.0168743
25000,-2.470413
25100,-6.0444307
25200,-6.637044
25300,-4.76776
25400,-6.3568244
25500,-4.6672606
25600,-2.474782
25700,-6.7407312
25800,-2.569234
25900,-3.8564823
26000,-2.3783178
26100,-4.8023787
26200,-5.036561
26300,-2.2571793
26400,-5.6170244
26500,-6.7739983
26600,-4.3660197
26700,-2.5833871
26800,-2.4021559
26900,-3.832505
27000,-4.993455
27100,-6.2048955
27200,-6.834994
27300,-2.7179344
27400,-5.6131134
27500,-2.2403195
27600,-2.1737893
27700,-2.5246668
27800,-3.0879183
27900,-4.032205
28000,-2.4590244
28100,-2.4278595
28200,-3.2081194
28300,-2.4724529
28400,-2.706966
28500,-2.6920617
28600,-2.5753546
28700,-2.6364427
28800,-3.8543036
28900,-2.6452212
29000,-2.6681914
29100,-3.2529993
29200,-2.527713
29300,-2.833443
29400,-2.585391
29500,-2.6372786
29600,-2.619377
29700,-2.994498
29800,-2.5709512
29900,-2.0959132
30000,-2.2076373
30100,-2.4957812
30200,-2.4876
30300,-2.4816208
30400,-2.4918854
30500,-2.8414369
30600,-2.4659746
30700,-2.291833
30800,-2.4797745
30900,-2.635257
31000,-2.420422
31100,-2.1933947
31200,-2.0553265
31300,-2.4133039
31400,-2.517937
31500,-2.4335282
31600,-2.203967
31700,-2.5252435
31800,-2.3444757
31900,-2.4578793
32000,-2.060811
32100,-2.6045077
32200,-2.4937694
32300,-1.9077754
32400,-2.3413117
32500,-2.4958377
32600,-2.0404131
32700,-2.1445458
32800,-2.166878
32900,-2.030774
33000,-2.3226438
33100,-2.345817
33200,-2.5738516
33300,-2.3149924
33400,-2.2866094
33500,-2.3799822
33600,-2.3830297
33700,-2.0376523
33800,-2.324902
33900,-2.1100302
34000,-2.2597735
34100,-2.3107865
34200,-2.1326325
34300,-2.4599314
34400,-2.245895
34500,-2.021814
34600,-2.1576266
34700,-1.8981038
34800,-1.937413
34900,-1.9863499
35000,-2.120461
35100,-2.352425
35200,-2.21083
35300,-2.1872327
35400,-2.003881
35500,-2.1358886
35600,-2.1925335
35700,-2.0647397
35800,-1.9879601
35900,-1.9248536
36000,-1.9823022
36100,-2.0161293
36200,-2.1057181
36300,-2.1874413
36400,-2.1685169
36500,-1.994819
36600,-2.0675573
36700,-1.9454023
36800,-1.8924348
36900,-2.2267046
37000,-1.8250322
37100,-1.9065138
37200,-1.9715762
37300,-2.0413003
37400,-2.1034112
37500,-2.223917
37600,-1.9360813
37700,-2.1182303
37800,-1.9599578
37900,-2.2158384
38000,-2.1200056
38100,-2.2384617
38200,-1.88847
38300,-2.0832477
38400,-1.8767186
38500,-2.1588116
38600,-2.0061889
38700,-2.0615716
38800,-2.209292
38900,-2.1581414
39000,-2.2563143
39100,-2.1522894
39200,-2.2441106
39300,-2.0300267
39400,-2.10175
39500,-2.107006
39600,-1.9161272
39700,-2.169489
39800,-1.9274223
39900,-2.1783385
40000,-1.8946234
40100,-2.1727095
40200,-2.0254266
40300,-2.1319878
40400,-1.8978542
40500,-2.2787945
40600,-2.1257515
40700,-2.0411613
40800,-2.2003777
40900,-2.2891588
41000,-2.189441
41100,-2.1708148
41200,-1.8794214
41300,-1.9790622
41400,-2.1240022
41500,-2.1345754
41600,-2.1349125
41700,-2.202918
41800,-2.3248987
41900,-1.825578
42000,-2.2400563
42100,-2.4169796
42200,-1.9787582
42300,-2.1207855
42400,-2.1397996
42500,-1.7999368
42600,-2.084666
42700,-2.1748686
42800,-1.8799164
42900,-1.9279362
43000,-1.9033736
43100,-2.1413796
43200,-1.9928408
43300,-2.0542915
43400,-1.9423567
43500,-2.1127083
43600,-1.8760382
43700,-2.3453028
43800,-2.0757737
43900,-1.9897728
44000,-1.905334
44100,-2.049991
44200,-1.9499588
44300,-2.1958408
44400,-2.0928984
44500,-1.9896307
44600,-1.9998094
44700,-2.0554137
44800,-1.9211575
44900,-2.2342849
45000,-2.337141
45100,-2.1964207
45200,-2.0622396
45300,-1.8825601
45400,-2.1100152
45500,-1.9751232
45600,-2.1149697
45700,-2.0296595
45800,-2.0784292
45900,-2.4188888
46000,-2.4630313
46100,-2.3638144
46200,-2.1805859
46300,-2.1409414
46400,-2.1632476
46500,-2.3166711
46600,-2.2113636
46700,-1.9259574
46800,-2.221338
46900,-2.1758735
47000,-2.2726028
47100,-2.1566002
47200,-2.0968587
47300,-2.1578705
47400,-1.9973255
47500,-2.1273773
47600,-2.4073026
47700,-2.1480496
47800,-1.9831392
47900,-2.094779
48000,-2.360793
48100,-2.3547804
48200,-2.1686106
48300,-2.2003968
48400,-2.137561
48500,-2.451187
48600,-2.0093966
48700,-2.1250486
48800,-2.1043823
48900,-2.3857262
49000,-1.9890448
49100,-2.226453
49200,-2.1558416
49300,-2.2108133
49400,-2.392625
49500,-1.9576671
49600,-2.072736
