timestep,average_reward
100,-8.863796
200,-9.400448
300,-4.201
400,-8.381263
500,-5.9871864
600,-5.7342944
700,-10.614385
800,-10.602608
900,-4.9185085
1000,-7.8563595
1100,-3.5219164
1200,-4.5468783
1300,-5.0935774
1400,-5.5510583
1500,-5.813041
1600,-5.22489
1700,-5.9372425
1800,-5.1003313
1900,-3.96447
2000,-6.608453
2100,-5.386347
2200,-3.753787
2300,-7.8184075
2400,-6.325727
2500,-4.2922673
2600,-8.301892
2700,-4.48805
2800,-4.6416993
2900,-8.079251
3000,-5.4127474
3100,-6.720857
3200,-7.0887356
3300,-4.8191094
3400,-5.588861
3500,-6.7702317
3600,-7.9900475
3700,-5.3919153
3800,-5.9933515
3900,-3.4250956
4000,-4.6117167
4100,-3.9067762
4200,-4.34233
4300,-5.583522
4400,-3.4076815
4500,-3.6225986
4600,-3.9786313
4700,-5.402137
4800,-4.1318197
4900,-4.65486
5000,-5.0724993
5100,-5.2079387
5200,-4.945454
5300,-3.496208
5400,-5.3252735
5500,-3.9530597
5600,-4.768941
5700,-5.3271194
5800,-4.368229
5900,-3.0541456
6000,-3.129278
6100,-4.9691496
6200,-5.11195
6300,-4.897371
6400,-3.2136326
6500,-4.757459
6600,-5.788129
6700,-5.261652
6800,-5.2272687
6900,-5.6100373
7000,-3.1560986
7100,-4.815563
7200,-6.517683
7300,-3.2248254
7400,-3.4697497
7500,-6.9139495
7600,-3.3541958
7700,-5.468861
7800,-6.4177656
7900,-5.6616077
8000,-5.511087
8100,-3.2689939
8200,-6.758709
8300,-5.32384
8400,-6.424796
8500,-5.288056
8600,-6.2249975
8700,-3.6353385
8800,-5.857691
8900,-3.5325756
9000,-3.365633
9100,-7.5840645
9200,-6.0636806
9300,-6.0594654
9400,-3.5550134
9500,-3.4186347
9600,-7.076713
9700,-6.1862016
9800,-3.939621
9900,-5.9724627
10000,-3.9200497
10100,-7.532938
10200,-7.414976
10300,-7.4458423
10400,-3.5615814
10500,-3.6190886
10600,-3.8525994
10700,-7.6799884
10800,-4.2325063
10900,-6.357851
11000,-3.7559552
11100,-6.293593
11200,-7.669554
11300,-7.8480697
11400,-3.818347
11500,-4.1454487
11600,-4.039112
11700,-3.8534472
11800,-3.824285
11900,-3.8501272
12000,-7.5853148
12100,-3.9830976
12200,-7.98126
12300,-3.919358
12400,-7.860659
12500,-6.5316997
12600,-8.2272415
12700,-6.9856586
12800,-7.036161
12900,-4.365661
13000,-8.004608
13100,-6.674608
13200,-7.4705033
13300,-6.9186277
13400,-4.272746
13500,-6.839146
13600,-8.123632
13700,-8.193153
13800,-7.1762986
13900,-4.1254597
14000,-4.063439
14100,-7.7733736
14200,-8.335233
14300,-4.156025
14400,-6.9096622
14500,-6.8002934
14600,-6.7390504
14700,-8.302353
14800,-7.916713
14900,-4.0135393
15000,-3.7521632
15100,-8.092517
15200,-8.418508
15300,-8.198283
15400,-8.176262
15500,-6.7999725
15600,-6.590116
15700,-4.1566057
15800,-3.8039627
15900,-8.283604
16000,-7.0028467
16100,-7.800374
16200,-3.7800379
16300,-3.915639
16400,-7.85939
16500,-6.7436047
16600,-3.849773
16700,-7.123493
16800,-6.7514067
16900,-8.077299
17000,-3.7040358
17100,-7.7463183
17200,-3.9162529
17300,-7.908278
17400,-7.0403166
17500,-7.9529986
17600,-8.027111
17700,-4.1005573
17800,-8.508439
17900,-8.132852
18000,-6.42391
18100,-6.8232703
18200,-7.185892
18300,-7.2748003
18400,-8.617466
18500,-7.052332
18600,-6.999087
18700,-7.297337
18800,-6.6786237
18900,-7.0802813
19000,-7.208865
19100,-3.7214947
19200,-3.7144284
19300,-6.9311824
19400,-6.543327
19500,-3.5988472
19600,-3.9623308
19700,-8.63934
19800,-6.629233
19900,-8.631685
20000,-6.700037
20100,-3.5775497
20200,-8.479234
20300,-8.573542
20400,-6.8474126
20500,-7.6860313
20600,-8.531448
20700,-6.6892934
20800,-8.559654
20900,-8.705201
21000,-3.7798886
21100,-3.6867101
21200,-8.906434
21300,-8.52005
21400,-6.9798713
21500,-8.629394
21600,-3.7945123
21700,-3.4275424
21800,-8.338126
21900,-6.9823213
22000,-8.346872
22100,-8.381107
22200,-7.14699
22300,-7.2016563
22400,-8.526408
22500,-6.5021234
22600,-8.465803
22700,-3.7696447
22800,-6.5511518
22900,-3.6975837
23000,-6.8420963
23100,-8.120441
23200,-3.2628295
23300,-8.478559
23400,-6.1717544
23500,-3.103969
23600,-8.469671
23700,-8.203174
23800,-8.60263
23900,-3.265864
24000,-8.40515
24100,-3.3073392
24200,-3.6382656
24300,-3.4723551
24400,-7.03008
24500,-8.55483
24600,-3.3457773
24700,-3.913326
24800,-9.155711
24900,-3.3429816
25000,-3.15961
25100,-7.346301
25200,-8.985996
25300,-3.9001887
25400,-8.816767
25500,-8.854563
25600,-3.5842166
25700,-8.857329
25800,-3.542987
25900,-3.7890491
26000,-6.9865065
26100,-9.186359
26200,-8.847105
26300,-8.96855
26400,-3.4100618
26500,-8.478443
26600,-7.053537
26700,-7.082944
26800,-3.8740475
26900,-3.817153
27000,-3.5145473
27100,-8.685497
27200,-3.9890625
27300,-7.7012978
27400,-4.028232
27500,-3.7529414
27600,-7.5149083
27700,-3.7655785
27800,-8.954421
27900,-7.545389
28000,-7.027159
28100,-6.848338
28200,-6.996663
28300,-7.2161655
28400,-3.594227
28500,-8.869397
28600,-7.361059
28700,-3.9570925
28800,-4.1594243
28900,-7.7617126
29000,-8.717159
29100,-4.4123354
29200,-4.256606
29300,-8.705528
29400,-4.183
29500,-3.879569
29600,-7.5937147
29700,-3.6171534
29800,-7.736485
29900,-3.5230682
30000,-4.1899767
30100,-8.74095
30200,-7.5222583
30300,-7.479651
30400,-4.257132
30500,-8.964756
30600,-4.0938997
30700,-9.390802
30800,-7.995957
30900,-4.1052213
31000,-8.924597
31100,-8.036607
31200,-9.675124
31300,-4.2151594
31400,-7.9025917
31500,-9.467349
31600,-9.742001
31700,-9.4467745
31800,-3.843164
31900,-7.4772315
32000,-8.085433
32100,-4.0087457
32200,-7.480336
32300,-3.5999985
32400,-9.217792
32500,-7.9580164
32600,-7.4455757
32700,-8.001442
32800,-9.480371
32900,-3.9145794
33000,-7.3901587
33100,-9.334868
33200,-7.9163094
33300,-3.2854679
33400,-3.6699517
33500,-8.126301
33600,-4.032785
33700,-9.804571
33800,-3.1301725
33900,-3.630588
34000,-3.3063996
34100,-4.101563
34200,-3.913482
34300,-9.394351
34400,-3.4061475
34500,-8.434783
34600,-7.875026
34700,-3.773889
34800,-9.880557
34900,-3.939643
35000,-3.5133517
35100,-9.378124
35200,-3.777565
35300,-9.949549
35400,-3.5628152
35500,-10.004892
35600,-2.8570156
35700,-9.499325
35800,-9.495466
35900,-10.000311
36000,-8.367149
36100,-10.1615505
36200,-9.759122
