timestep,average_reward
100,-6.29898
200,-4.9033175
300,-2.8642924
400,-2.915362
500,-2.9805982
600,-2.6399314
700,-2.233616
800,-2.625896
900,-2.7897205
1000,-2.866889
1100,-2.424659
1200,-2.6829891
1300,-2.500555
1400,-2.324944
1500,-2.56094
1600,-2.4249206
1700,-2.6684842
1800,-1.9424876
1900,-2.9330616
2000,-2.7452152
2100,-1.8462548
2200,-1.9300456
2300,-2.8377693
2400,-2.8919678
2500,-2.6591702
2600,-1.7710804
2700,-1.8930576
2800,-1.6196833
2900,-3.3335695
3000,-1.7665082
3100,-2.756877
3200,-2.742289
3300,-2.0027146
3400,-3.624173
3500,-3.2352648
3600,-3.019348
3700,-1.8342398
3800,-2.1350918
3900,-2.8311803
4000,-3.1006107
4100,-2.8088663
4200,-3.1820972
4300,-2.9778945
4400,-2.796712
4500,-2.989056
4600,-1.8335485
4700,-2.681454
4800,-2.4575472
4900,-1.8215693
5000,-2.418263
5100,-3.1135483
5200,-1.8805956
5300,-2.1733794
5400,-3.123368
5500,-3.0062857
5600,-2.1652567
5700,-1.8321218
5800,-1.8423157
5900,-3.2811975
6000,-1.7436905
6100,-2.9614408
6200,-3.0101657
6300,-2.9251904
6400,-2.2077508
6500,-1.8314816
6600,-2.9074
6700,-2.9232454
6800,-3.084115
6900,-1.8653103
7000,-3.2209933
7100,-1.8205768
7200,-2.917345
7300,-1.7284137
7400,-2.895034
7500,-1.8442057
7600,-1.7182297
7700,-2.9090421
7800,-3.674758
7900,-3.137472
8000,-3.3702588
8100,-3.376774
8200,-2.9720514
8300,-1.6557628
8400,-2.7479932
8500,-3.0822396
8600,-2.9234824
8700,-3.1616545
8800,-2.6614661
8900,-2.9482868
9000,-2.8622634
9100,-2.3861716
9200,-3.0589907
9300,-2.7736611
9400,-2.8855174
9500,-2.1718936
9600,-2.4966319
9700,-2.363955
9800,-2.4625204
9900,-1.8455814
10000,-2.4325542
10100,-2.4136934
10200,-1.8657355
10300,-2.7471159
