timestep,average_reward
100,-4.6359468
200,-6.7888775
300,-4.9664016
400,-2.771163
500,-2.7138424
600,-3.10575
700,-2.2965322
800,-2.411175
900,-2.3177335
1000,-2.3846378
1100,-2.4666464
1200,-2.432216
1300,-2.161399
1400,-2.2979982
1500,-2.38274
1600,-2.23202
1700,-2.2378037
1800,-2.4462485
1900,-2.232265
2000,-2.0621676
2100,-2.813734
2200,-2.8472457
2300,-2.2807655
2400,-2.8233411
2500,-2.4057176
2600,-2.194569
2700,-2.211898
2800,-2.1989574
2900,-2.0620499
3000,-2.0350156
3100,-2.046111
3200,-2.0075274
3300,-2.121233
3400,-2.0284193
3500,-2.2686968
3600,-2.4319842
3700,-2.1543722
3800,-2.1936457
3900,-2.186984
4000,-2.0864687
4100,-2.4086652
4200,-2.254388
4300,-2.195467
4400,-2.4884558
4500,-2.1152413
4600,-2.2467759
4700,-2.5019734
4800,-1.9235643
4900,-2.0586395
5000,-1.9893479
5100,-2.223708
5200,-2.3267868
5300,-2.032779
5400,-2.1817667
5500,-2.1432035
5600,-2.0410602
5700,-1.9640001
5800,-1.8861983
5900,-2.2186205
6000,-2.0446954
6100,-2.0759737
6200,-2.4680145
6300,-1.696427
6400,-2.078906
6500,-2.140767
6600,-2.2960594
6700,-2.118746
6800,-1.9946518
6900,-2.1249955
7000,-2.0495558
7100,-2.1844397
7200,-1.8799754
7300,-1.9261155
7400,-2.1764317
7500,-1.9036958
7600,-2.10872
7700,-2.2120564
7800,-2.0982046
7900,-1.8279473
8000,-2.381692
8100,-2.1039708
8200,-2.3965063
8300,-2.1656985
8400,-2.3985069
8500,-1.8463668
8600,-2.1022668
8700,-2.3387227
8800,-2.2850935
8900,-2.132132
9000,-1.7807434
9100,-2.0241346
9200,-2.379587
9300,-2.497415
9400,-2.1948464
9500,-2.0767546
9600,-1.9077269
9700,-2.115127
9800,-2.1795785
9900,-1.8196206
10000,-1.8816366
10100,-2.0562458
10200,-2.4192464
10300,-2.0532026
10400,-2.1208322
10500,-1.8399998
10600,-2.1070433
10700,-2.3564765
10800,-2.0557754
10900,-2.040809
11000,-2.394946
11100,-1.7451931
11200,-2.0646043
11300,-2.4000232
11400,-2.2622645
11500,-2.3992307
11600,-2.1064696
11700,-2.2959309
11800,-1.9334189
11900,-2.3857605
12000,-2.0643966
12100,-2.2464638
12200,-2.044879
12300,-2.1409369
12400,-1.7884258
12500,-2.398477
12600,-1.9146963
12700,-1.8677624
12800,-2.3492134
12900,-2.4580228
13000,-2.3637855
13100,-2.0796812
13200,-1.9829689
13300,-2.1326838
13400,-1.9259185
13500,-2.1445825
13600,-2.0754657
13700,-2.1790936
13800,-2.109172
13900,-2.1283092
14000,-2.566693
14100,-2.451982
14200,-2.1304371
14300,-2.3796897
14400,-2.1268728
14500,-2.3866956
14600,-2.5463915
14700,-2.3923728
14800,-2.0657635
14900,-1.8446617
15000,-2.302212
15100,-2.5012205
15200,-2.2518885
15300,-1.9633445
15400,-2.3855479
15500,-2.3765464
15600,-2.3605263
15700,-2.3301203
15800,-2.4307625
15900,-2.5660543
16000,-2.0392077
16100,-2.6760104
