timestep,average_reward
100,-2.3593125
200,-1.993509
300,-2.2521746
400,-1.9059323
500,-1.5860792
600,-1.8236802
700,-1.6242222
800,-1.824676
900,-1.4510118
1000,-1.3599808
1100,-1.9188712
1200,-1.7981076
1300,-1.5048424
1400,-1.6173555
1500,-1.6396347
1600,-1.5710438
1700,-1.4688846
1800,-1.5539993
1900,-1.4011883
2000,-1.4392909
2100,-1.4846466
2200,-1.6522222
2300,-1.4943641
2400,-1.3487294
2500,-1.5270817
2600,-1.4258714
2700,-1.3534522
2800,-1.5336471
2900,-1.4828197
3000,-1.4161028
3100,-1.3877156
3200,-1.4451469
3300,-1.3825333
3400,-1.2432538
3500,-1.4440161
3600,-1.27595
3700,-1.340295
3800,-1.5792662
3900,-1.4637104
4000,-1.3114114
4100,-1.5279665
4200,-1.4406996
4300,-1.361346
4400,-1.4459099
4500,-1.4879718
4600,-1.3241044
4700,-1.3415376
4800,-1.5010767
4900,-1.319566
5000,-1.5045288
5100,-1.4331676
5200,-1.2818736
5300,-1.2750025
5400,-1.4873773
5500,-1.415219
5600,-1.4642074
5700,-1.3626317
5800,-1.306529
5900,-1.2998514
6000,-1.517947
6100,-1.3659505
6200,-1.4560739
6300,-1.2770281
6400,-1.2932305
6500,-1.3725048
6600,-1.2521098
6700,-1.3854097
6800,-1.4101225
6900,-1.3172394
7000,-1.3327229
7100,-1.2925348
7200,-1.3633114
7300,-1.4366751
7400,-1.3937235
7500,-1.5096506
7600,-1.3334892
7700,-1.2385236
7800,-1.4654068
7900,-1.4116797
8000,-1.4407352
8100,-1.2978537
8200,-1.3654122
8300,-1.3116469
8400,-1.4432842
8500,-1.3545564
8600,-1.6245482
8700,-1.1501465
8800,-1.392173
8900,-1.2396888
9000,-1.5108609
9100,-1.4571556
9200,-1.3967237
9300,-1.3583792
9400,-1.3717072
9500,-1.4519296
9600,-1.3875511
9700,-1.287004
9800,-1.3461659
9900,-1.4696796
10000,-1.3963029
10100,-1.4096543
10200,-1.4417802
10300,-1.4144492
10400,-1.5612869
10500,-1.4124694
10600,-1.3978096
10700,-1.4308869
10800,-1.4364778
10900,-1.4251763
11000,-1.3417085
11100,-1.5148215
11200,-1.3706306
11300,-1.1678512
11400,-1.5516198
11500,-1.4116136
11600,-1.3730595
11700,-1.3331409
11800,-1.4005997
11900,-1.3103505
12000,-1.3693461
12100,-1.1485034
12200,-1.463469
12300,-1.4223411
12400,-1.528898
12500,-1.5056489
12600,-1.4663765
12700,-1.6346526
12800,-1.5912932
12900,-1.4923058
13000,-1.353351
13100,-1.5995609
13200,-1.7715378
13300,-1.2352532
13400,-1.2260433
13500,-1.8327087
13600,-1.3730168
13700,-1.62143
13800,-1.5379355
13900,-1.3191453
14000,-1.575428
14100,-1.6602615
14200,-1.3187851
14300,-1.3305779
14400,-1.3097239
14500,-1.559481
14600,-1.7085718
14700,-1.4502738
14800,-1.2812054
14900,-1.4694382
15000,-1.1950756
15100,-1.2754933
15200,-1.3734407
15300,-1.1585686
15400,-1.7740471
15500,-1.5273722
15600,-1.218679
15700,-1.4537187
15800,-1.6820105
15900,-1.1708119
16000,-1.7949228
16100,-1.4944252
16200,-1.5680279
16300,-1.5620446
16400,-1.3375986
16500,-1.9661359
16600,-1.6574005
16700,-1.314069
16800,-1.8330814
16900,-1.2613798
17000,-1.3054677
17100,-1.9199812
17200,-1.563877
17300,-1.3405528
17400,-1.7174406
17500,-1.3178058
17600,-1.2008164
17700,-1.5595876
17800,-1.3417081
17900,-1.6945146
18000,-1.3181549
18100,-1.8571005
18200,-1.3105705
18300,-1.4102855
18400,-1.800771
18500,-1.777639
18600,-1.5737329
18700,-1.2842317
18800,-1.5445678
18900,-1.696333
19000,-1.3195626
19100,-1.1840091
19200,-1.1682168
19300,-1.3044782
19400,-1.6044284
19500,-1.187778
19600,-1.4083847
19700,-1.6233653
19800,-1.5839067
19900,-1.6675246
20000,-1.5057595
20100,-1.3345044
20200,-1.6993808
20300,-1.3233223
20400,-1.6758884
20500,-1.7444758
20600,-1.5200156
20700,-1.5773306
20800,-1.3071316
20900,-1.4768796
21000,-1.3447136
21100,-1.6644725
21200,-1.5563697
21300,-1.4607872
21400,-1.3190883
21500,-1.7244633
21600,-1.6694144
21700,-1.2134156
21800,-1.1757729
21900,-1.1210697
22000,-1.5504732
22100,-1.5814976
22200,-1.2613047
22300,-1.2574971
22400,-1.2136166
22500,-1.2758604
22600,-1.2756726
22700,-1.3380618
22800,-1.4722526
22900,-1.2250042
23000,-1.7151952
23100,-1.2561877
23200,-1.643648
23300,-1.5471606
23400,-1.3076584
23500,-1.831852
23600,-1.2576486
23700,-1.9178958
23800,-1.329105
23900,-1.3743842
24000,-1.3177228
24100,-1.9692618
24200,-1.9882054
24300,-1.9235573
24400,-1.6496513
24500,-1.2400491
24600,-2.0958135
24700,-2.0036361
24800,-1.7938101
24900,-1.7533641
25000,-1.5546547
25100,-1.385108
25200,-1.4293834
25300,-1.4687626
25400,-1.2753576
25500,-1.7195722
25600,-1.2710185
25700,-1.500672
25800,-1.3917912
25900,-1.2293674
26000,-1.6678216
26100,-1.3918009
26200,-1.4324039
26300,-1.8450092
26400,-1.4316695
26500,-1.3502815
26600,-1.7002469
26700,-2.1927505
26800,-1.3935382
26900,-2.1737998
27000,-1.2265868
27100,-1.9587505
27200,-2.2709482
27300,-1.5776031
27400,-1.3598714
27500,-1.390958
27600,-1.2063574
27700,-1.5466086
27800,-1.4321083
27900,-1.8255311
28000,-1.554064
28100,-1.4848561
28200,-1.5878001
28300,-1.4434781
28400,-1.4350421
28500,-1.5306278
28600,-1.3632531
28700,-1.6664613
28800,-1.45462
28900,-1.2147545
29000,-1.2488806
29100,-1.4533966
29200,-1.245684
29300,-1.7389275
29400,-1.7165923
29500,-1.2065845
29600,-1.575885
29700,-1.5755829
29800,-1.2596843
29900,-1.2255523
30000,-1.4910911
30100,-1.543283
30200,-1.3975098
30300,-1.5153956
30400,-1.5872422
30500,-1.3779713
30600,-1.377159
30700,-1.2483077
30800,-1.522608
30900,-1.4998301
31000,-1.3945011
31100,-1.3241807
31200,-1.4485168
