timestep,average_reward
100,-79.17735
200,-397.00977
300,-488.0915
400,-429.3055
500,-56.372334
600,-17.414112
700,-31.322231
800,-31.694572
900,-30.986902
1000,-12.468954
1100,-14.223319
1200,-9.610713
1300,-13.630121
1400,-19.01331
1500,-8.981756
1600,-9.373468
1700,-22.196846
1800,-22.477783
1900,-23.458372
2000,-14.132846
2100,-23.101635
2200,-19.591494
2300,-9.868321
2400,-7.839173
2500,-18.34801
2600,-9.052471
2700,-18.72171
2800,-19.687263
2900,-19.140911
3000,-20.065607
3100,-22.112225
3200,-9.055641
3300,-20.317543
3400,-24.40884
3500,-10.942108
3600,-16.02261
3700,-19.92801
3800,-24.564077
3900,-20.584654
4000,-8.200417
4100,-18.974903
4200,-19.513638
4300,-27.578989
4400,-23.944614
4500,-25.49386
4600,-13.954035
4700,-27.21215
4800,-20.984032
4900,-8.521909
5000,-27.027464
5100,-23.653872
5200,-9.542139
5300,-22.512102
5400,-19.615637
5500,-9.648808
5600,-26.002592
5700,-19.652288
5800,-15.451419
5900,-26.024315
6000,-9.355924
6100,-18.403856
6200,-9.882223
6300,-19.290865
6400,-28.607649
6500,-20.264772
6600,-25.339087
6700,-22.319687
6800,-24.531218
6900,-13.320984
7000,-13.125858
7100,-9.245325
7200,-13.606943
7300,-9.246042
7400,-7.9330053
7500,-24.025375
7600,-22.92973
7700,-19.699612
7800,-13.227265
7900,-17.551119
8000,-12.6393
8100,-24.731052
8200,-24.755573
8300,-13.928371
8400,-23.725882
8500,-7.239166
8600,-14.3474
8700,-17.733711
8800,-24.521738
8900,-23.912825
9000,-12.507739
9100,-19.691029
9200,-14.7802725
9300,-22.01822
9400,-6.394624
9500,-20.492762
9600,-23.722885
9700,-16.484625
9800,-7.317491
9900,-11.153766
10000,-16.931957
10100,-6.998635
10200,-8.44393
10300,-8.503456
10400,-22.650566
10500,-9.232267
10600,-11.028906
10700,-20.836323
10800,-15.387136
10900,-23.915152
11000,-21.68356
11100,-6.5773997
11200,-21.400698
11300,-19.532598
11400,-21.463814
11500,-14.248545
11600,-8.275763
11700,-12.685198
11800,-22.713404
11900,-18.700903
12000,-17.446745
12100,-19.118826
12200,-8.887349
12300,-7.9483685
12400,-8.2217045
12500,-21.055819
12600,-12.7499695
12700,-6.529569
12800,-10.017314
12900,-13.074202
13000,-6.8276906
13100,-14.196364
13200,-18.041035
13300,-10.23816
13400,-10.688939
13500,-17.373144
13600,-7.5486846
13700,-7.7793713
13800,-16.304625
13900,-15.079526
14000,-19.862879
14100,-13.678067
14200,-13.754838
14300,-6.617473
14400,-6.2348385
14500,-6.20444
14600,-12.8109
14700,-19.781305
14800,-20.280476
14900,-6.9480076
15000,-11.76672
15100,-6.24295
15200,-11.756769
15300,-12.646401
15400,-12.648767
15500,-10.357776
15600,-6.362911
15700,-6.853437
15800,-15.343012
15900,-11.02574
16000,-10.300501
16100,-6.6076417
16200,-12.862632
16300,-10.332612
16400,-10.537548
16500,-10.270514
16600,-12.426216
16700,-7.5558686
16800,-12.20854
16900,-7.262818
17000,-8.316987
17100,-13.310713
17200,-9.136779
17300,-9.796471
17400,-10.719871
17500,-8.015948
17600,-12.358179
17700,-12.057919
17800,-10.023701
17900,-11.369235
18000,-7.6131706
18100,-8.757402
18200,-7.3576207
18300,-12.430761
18400,-8.031899
18500,-4.1083736
18600,-9.803294
18700,-6.246127
18800,-10.74281
18900,-7.665938
19000,-9.59576
19100,-6.9629564
19200,-7.432699
19300,-6.896109
19400,-6.9160695
19500,-6.330826
19600,-6.8063493
19700,-8.435668
19800,-6.5962224
19900,-11.076451
20000,-8.945873
20100,-9.456101
20200,-9.224944
20300,-8.866275
20400,-8.787504
20500,-6.4090943
20600,-6.711584
20700,-9.001886
20800,-3.5827224
20900,-8.763264
21000,-7.9783235
21100,-7.572834
21200,-7.869213
21300,-7.735667
21400,-7.4875655
21500,-5.6204405
21600,-7.2112713
21700,-6.4592066
21800,-6.7253017
21900,-8.344571
22000,-3.1401858
22100,-7.1291866
22200,-10.922007
22300,-11.132742
22400,-7.0140853
22500,-10.361431
22600,-3.4905276
22700,-8.615931
22800,-9.199024
22900,-6.5407844
